Endereço	galpao	Local	Nível	Posição	LP/Série	Código	Descrição	Cen	Dep	Status	Qtde
C1A22	1	C1	A	22	160748	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1
C1B22	1	C1	B	22	166886	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1C22	1	C1	C	22	168185	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A23	1	C1	A	23	166201	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1B23	1	C1	B	23	164857	334975	TRANSFORMADOR DISTR TRIF 45,0KVA AP	11	15	DEPS	1
C1C23	1	C1	C	23	163509	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1C23	1	C1	C	23	163508	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1A24	1	C1	A	24	139536	397969	TRANSFORMADOR DISTR MONOF 100,0KVA	11	15	DEPS	1
C1B24	1	C1	B	24	171924	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C24	1	C1	C	24	140563	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A25	1	C1	A	25	167993	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B25	1	C1	B	25	169785	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C25	1	C1	C	25	160441	397141	TRANSFORMADOR DISTR TRIF 15,0KVA 6/13KV	11	15	DEPS	1
C1A26	1	C1	A	26	166194	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1
C1B26	1	C1	B	26	169761	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C26	1	C1	C	26	159425	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A27	1	C1	A	27	144807	397969	TRANSFORMADOR DISTR MONOF 100,0KVA	11	15	DEPS	1
C1B27	1	C1	B	27	171929	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C27	1	C1	C	27	135652	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A28	1	C1	A	28	162961	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1B28	1	C1	B	28	161460	397141	TRANSFORMADOR DISTR TRIF 15,0KVA 6/13KV	11	15	DEPS MONT	1
C1C28	1	C1	C	28	168152	397970	TRANSFORMADOR DISTR TRIF 15KVA	11	15	DEPS	1
C1A29	1	C1	A	29	160682	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1B29	1	C1	B	29	153813	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1
C1C29	1	C1	C	29	159324	397146	TRANSFORMADOR DISTR MONOF 25,0KVA ISOL	11	15	DEPS MONT	1
C1C29	1	C1	C	29	162276	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1A30	1	C1	A	30	166641	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B30	1	C1	B	30	172409	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C30	1	C1	C	30	170723	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A31	1	C1	A	31	163898	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS MONT	1
C1B31	1	C1	B	31	162037	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1C31	1	C1	C	31	166004	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A32	1	C1	A	32	163911	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1
C1B32	1	C1	B	32	166305	397145	TRANSFORMADOR DISTR TRIF 112,5KVA 6/13KV	11	15	DEPS	1
C1C32	1	C1	C	32	165959	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS	1
C1A33	1	C1	A	33	160753	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1
C1B33	1	C1	B	33	139066	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1C33	1	C1	C	33	170727	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A34	1	C1	A	34	164580	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS MONT	1
C1B34	1	C1	B	34	168637	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1C34	1	C1	C	34	169771	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A35	1	C1	A	35	148410	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1
C1B35	1	C1	B	35	149698	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1C35	1	C1	C	35	168897	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1A36	1	C1	A	36	163900	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1
C1B36	1	C1	B	36	169694	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1
C1C36	1	C1	C	36	170116	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1A37	1	C1	A	37	147342	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1B37	1	C1	B	37	148673	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1C37	1	C1	C	37	168890	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A38	1	C1	A	38	162492	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1B38	1	C1	B	38	140800	397969	TRANSFORMADOR DISTR MONOF 100,0KVA	11	15	DEPS	1
C1C38	1	C1	C	38	168849	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1A39	1	C1	A	39	165217	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B39	1	C1	B	39	147410	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1
C1C39	1	C1	C	39	157036	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A40	1	C1	A	40	163607	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1B40	1	C1	B	40	153821	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C40	1	C1	C	40	171921	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1
C1A41	1	C1	A	41	149749	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1B41	1	C1	B	41	161529	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS	1
C1C41	1	C1	C	41	171923	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A42	1	C1	A	42	898442	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1B42	1	C1	B	42	139690	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1C42	1	C1	C	42	169890	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1
C1A43	1	C1	A	43	163951	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS MONT	1
C1B43	1	C1	B	43	166098	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1C43	1	C1	C	43	156623	397971	TRANSFORMADOR DISTR TRIF 30,0KVA	11	15	DEPS	1
C1A44	1	C1	A	44	165747	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS MONT	1
C1B44	1	C1	B	44	146741	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1
C1C44	1	C1	C	44	172401	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A45	1	C1	A	45	169081	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1B45	1	C1	B	45	158514	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1C45	1	C1	C	45	164943	334975	TRANSFORMADOR DISTR TRIF 45,0KVA AP	11	15	DEPS	1
C1A46	1	C1	A	46	140754	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1B46	1	C1	B	46	175634	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1
C1C46	1	C1	C	46	153141	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1A47	1	C1	A	47	148586	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1B47	1	C1	B	47	166903	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1C47	1	C1	C	47	168073	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A48	1	C1	A	48	162566	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1
C1B48	1	C1	B	48	168943	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1C48	1	C1	C	48	170713	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1A49	1	C1	A	49	139261	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1B49	1	C1	B	49	-	-	-	-	-	-	-
C1C49	1	C1	C	49	-	-	-	-	-	-	-
C1A50	1	C1	A	50	153496	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1B50	1	C1	B	50	170091	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C50	1	C1	C	50	-	-	-	-	-	-	-
C1A51	1	C1	A	51	160681	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B51	1	C1	B	51	163557	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C51	1	C1	C	51	168067	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A52	1	C1	A	52	170670	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B52	1	C1	B	52	-	-	-	-	-	-	-
C1C52	1	C1	C	52	-	-	-	-	-	-	-
C1A53	1	C1	A	53	-	-	-	-	-	-	-
C1B53	1	C1	B	53	-	-	-	-	-	-	-
C1C53	1	C1	C	53	-	-	-	-	-	-	-
C1A54	1	C1	A	54	-	-	-	-	-	-	-
C1B54	1	C1	B	54	-	-	-	-	-	-	-
C1C54	1	C1	C	54	-	-	-	-	-	-	-
C1A55	1	C1	A	55	-	-	-	-	-	-	-
C1B55	1	C1	B	55	-	-	-	-	-	-	-
C1C55	1	C1	C	55	-	-	-	-	-	-	-
C1A56	1	C1	A	56	-	-	-	-	-	-	-
C1B56	1	C1	B	56	-	-	-	-	-	-	-
C1C56	1	C1	C	56	-	-	-	-	-	-	-
C1P01	1	C1	P	1	147763	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS MONT	1
C1P01	1	C1	P	1	150476	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS MONT	1
C1P01	1	C1	P	1	172290	397145	TRANSFORMADOR DISTR TRIF 112,5KVA 6/13KV	11	15	DEPS	1
C1P01	1	C1	P	1	149480	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	163630	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	170276	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	162092	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	163769	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1P01	1	C1	P	1	175961	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	154453	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1P01	1	C1	P	1	143003	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	148417	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1
C1P01	1	C1	P	1	155328	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	170372	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS MONT	1
C1P01	1	C1	P	1	146916	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	166204	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1
C1P01	1	C1	P	1	162063	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	155604	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	163705	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	157274	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	169965	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1P01	1	C1	P	1	166409	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	163683	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	165918	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	173881	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	143846	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	143822	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	150618	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1
C1P01	1	C1	P	1	166096	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	175586	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	154377	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	149670	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	139116	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	149248	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1
C1P01	1	C1	P	1	173066	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1P01	1	C1	P	1	170191	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	141151	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1P01	1	C1	P	1	167028	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS MONT	1
C1P01	1	C1	P	1	162542	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1P01	1	C1	P	1	174975	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS MONT	1
C1P01	1	C1	P	1	172474	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	150378	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1P01	1	C1	P	1	142820	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	173217	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	140583	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1P01	1	C1	P	1	171754	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS MONT	1
C1P01	1	C1	P	1	175056	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	137718	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	138679	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1
C1P01	1	C1	P	1	168209	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	174201	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	172101	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1P01	1	C1	P	1	152060	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1P01	1	C1	P	1	163877	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS MONT	1
C1P01	1	C1	P	1	170672	Verificar	Verificar	Verificar	Verificar	Verificar	1
C2A01	2	C2	A	1	168801	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C2B01	2	C2	B	1	168581	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C2A02	2	C2	A	1	142327	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C2B02	2	C2	B	2	173463	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C2A03	2	C2	A	3	149732	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C2B03	2	C2	B	3	162313	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C2A04	2	C2	A	4	160679	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C2B04	2	C2	B	4	147422	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1
C2A05	2	C2	A	5	148924	Verificar	Verificar	Verificar	Verificar	Verificar	1
C2B05	2	C2	B	5	-	-	-	-	-	-	-
C2A06	2	C2	A	6	157825	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C2B06	2	C2	B	6	169883	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1
C2A07	2	C2	A	7	166681	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C2B07	2	C2	B	7	173898	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C2A08	2	C2	A	8	170934	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C2B08	2	C2	B	8	139416	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C2A09	2	C2	A	9	162513	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C2B09	2	C2	B	9	160622	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C2A10	2	C2	A	10	139140	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C2B10	2	C2	B	10	172063	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C2A11	2	C2	A	11	162516	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C2B11	2	C2	B	11	140456	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C2A12	2	C2	A	12	161882	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C2B12	2	C2	B	12	173438	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS MONT	1
C2A13	2	C2	A	13	166216	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1
C2B13	2	C2	B	13	172353	397978	TRANSFORMADOR DISTR MONOF 5,0KVA	11	15	DEPS	1
C2B13	2	C2	B	13	172354	397978	TRANSFORMADOR DISTR MONOF 5,0KVA	11	15	DEPS	1
C2A14	2	C2	A	14	166660	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS MONT	1
