MATERIAL	DESCRIÇÃO DO MATERIAL	Tipo de Material
3640	CHAVE FENDA C/ISOLAMENTO 1kV DE 1/8"X6"	FERRAMENTAL
3641	CHAVE FENDA C/ISOLAMENTO 1KV DE 5/16"X6  8X150MM	FERRAMENTAL
3642	CHAVE FENDA C/ISOLAMENTO 1kV DE 3/8 X 8	FERRAMENTAL
3643	CHAVE FENDA C/ISOLAMENTO 1kV DE 1/8"X4"	FERRAMENTAL
3644	CHAVE FENDA C/ISOLAMENTO 1kV DE 1/4"X6"	FERRAMENTAL
3645	CHAVE FENDA C/ISOLAMENTO 1kV DE 3/16"X4"	FERRAMENTAL
3646	CHAVE DE TESTE, TIPO NEON	FERRAMENTAL
3647	CHAVE FENDA 5/16X8 ISOLADA	FERRAMENTAL
3648	CHAVE FENDA S/ISOL TAM 1/8X6" 150X3MM	FERRAMENTAL
3649	CHAVE FENDA S/ISOL TAM 3/16X4" 100X5MM	FERRAMENTAL
3650	CHAVE FENDA S/ISOL TAM 5/16X8 200X8MM	FERRAMENTAL
3651	CHAVE PHILLIPS C/HASTE ISOLAMENTO 1KV 3/16" X6"	FERRAMENTAL
3652	CHAVE INGLESA C/CABO ISOLADO  P/1KV ''8''	FERRAMENTAL
3653	CHAVE INGLESA C/CABO ISOLADO P/1KV ''12''	FERRAMENTAL
3654	CHAVE INGLESA C/ISOLAMENTO TAM 10"	FERRAMENTAL
3655	CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/4"X6"	FERRAMENTAL
3656	CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 5/16"X6"	FERRAMENTAL
3657	CHAVE PHILLIPS COTOCO S/ISOLAMENTO 1/8"X1.1/2"	FERRAMENTAL
3658	CHAVE PHILLIPS COTOCO S/ISOLAMENTO 3/16"X1.1/2"	FERRAMENTAL
3659	CHAVE SOQUETE TIPO CANHÃO C/ISOLAMENTO 1KV DE 8MM	FERRAMENTAL
3660	CHAVE TIPO CANHÃO 8 MM (5/16")	FERRAMENTAL
3661	FURADEIRA DE IMPACTO DE 1/2" 110V-600W  REVERSIVEL.	FERRAMENTAL
3662	FURADEIRA ELÉTRICA IMPACTO 1/2" MODELO.GSB13 220V	FERRAMENTAL
3663	LAMINA SERRA ACO RAPIDO 1/2 X12 18 DENTE	FERRAMENTAL
3667	GPS- ION " SINCRONIZADOR HORÁRIO DE MEDIDORES"	OUTROS
3668	TRAVA QUEDAS P/CORDA TAMANHO 12MM C/ MOSQUETÃO	EPI
3669	MARRETA DE AÇO C/CABO DE 2KG	FERRAMENTAL
3670	MARRETA DE AÇO C/CABO DE 1KG	FERRAMENTAL
3671	CORDA DE LINHA VIVA 12MM  REF.32BRA 12/35	OUTROS
3672	MOSQUETÃO OVAL EM AÇO GALVANIZADO	EPI
3673	FITA DE ANCORAGEM REVESTIDA DE 1.20M C/ ABSORVEDOR	EPC
3674	FITA DE ANCORAGEM REVESTIDA 2 METROS REF: FT-AN200P	EPC
3675	FREIO OITO EM DURALUMINIO P/ RESGATE EM 35KN	OUTROS
3676	ADAPTADOR Nº 1 P/SERRA COPO DE 14MM a 30MM	FERRAMENTAL
3677	PONTA DE PROVA P/ MULTÍMETRO, REF MTL-01	FERRAMENTAL
3678	PONTEIRO DE AÇO DE 12"	FERRAMENTAL
3679	PUNÇÃO DE AÇO DE 6 X 150 MM	FERRAMENTAL
3680	SERRA TIPO COPO TAM 1.1/2" 38MM	FERRAMENTAL
3681	SERRA TIPO COPO TAM 13/16" 21 MM	FERRAMENTAL
3682	SOQUETE SEXTAVADO DE 13MM, C/ ENCAIXE DE 1/2"	FERRAMENTAL
3683	CALÇA EM BRIM 100% ALGODÃO CINZA FUNCIONARIO G 46-48 UNIF	OUTROS
3685	CALÇA CINZA PADRÃO CAM XGG	OUTROS
3686	CALÇA EM BRIM AZUL ROYAL TAM.G UNIF	OUTROS
4837	BUCHA PLÁSTICA S-7	OUTROS
4838	SOLDA FIO BASE ESTANHO RESINADO 500G 1.5	OUTROS
4839	PASTA POLIONDA TAMANHO A3 S/ALÇA ALTURA 2CM	ESCRITÓRIO
4841	FITA ZEBRADA AMARELA/PRETA 70MM P/200M-EPC	OUTROS
4842	DISCO DE CORTE DE 12"  NORTON	OUTROS
4843	COLHER PEDREIRO TAM.6"	OUTROS
4844	DISCO DE CORTE P/CORTE DE 14" X 1/8" X 1"	OUTROS
4845	PÁ DE BICO TAMANHO 34 X 320 X 270 MM	OUTROS
4846	TAMPAS DE BORNE D8L/T8L	OUTROS
4847	TAMPAS DE BORNE POLIFÁSICO	OUTROS
4848	TAMPA SEG EM FERRO P/CAIXA DE MEDIDOR BI-TRI	OUTROS
4849	DISCO CORTE P/FERRO 7" X 1/8" X 7/8"	OUTROS
4850	CARREGADOR PILHA AA-AAA BATERIA IMPUT 110VCA	OUTROS
4851	CARREGADOR E COLETOR DADOS P/COLETOR ME	OUTROS
4856	ETIQUETA ADESIVA COUCHÊ 100X80 - COR BRANCA	OUTROS
4857	ÓLEO ISOLADO 68  20 LITROS	OUTROS
4858	CONTROLADOR DE LUMINÁRIAS	OUTROS
4859	MANTA BORRACHA BT MODELO CL TAMANHO 1000X400X2MM	EPC
4860	VERRUMA DE AÇO DE 3/16" - 4.7MM	OUTROS
4861	MOITÃO FORMAÇÃO 80X3 CAPACIDADE 1.200 KG	OUTROS
4862	ETIQUETA ADESIVA "BOPP BRANCA" 15x15MM	OUTROS
4864	ALICATE FUSINEC P/FIXAÇÃO DE FITA AÇO	FERRAMENTAL
4865	ESTROPO CABO AÇO FLEX 5/8" C/ 1.20 ALÇA	OUTROS
4866	CORDOALHA  DE AÇO FLEX DE 8MM C/10M	OUTROS
4868	INTERRUPTOR SIMPLES	OUTROS
4869	INTERRUPTOR 2 SEÇÕES DE 4X2	OUTROS
4871	TRADO P/MADEIRA DE 3/4"	OUTROS
4872	BARRA DE SOLDA 60X40 100G	OUTROS
4873	CINTA AJUSTÁVEL P/ POSTE BAP2 800MM DDT174212R2	FERRAMENTAL
4874	ESCOVA IND CIR AC 150X25X30MM	OUTROS
4877	PARAFUSO CABEÇA REDONDA 6X16MM FENDA FERRO ZINCADO	OUTROS
4878	PARAFUSO AUTO-ATARRAXANTE FENDA ZINCADO 3/16 X 1/2"	OUTROS
4879	CURVA PVC RIG 50MM 180º CLASSE ADDT 1760	OUTROS
4880	CINTA P/POSTE DT 160X210MM DED 1003 I3 R2	OUTROS
4881	ARMAÇÃO SECUNDÁRIA DUPLA DED-0035R4	OUTROS
4882	BARRA ROSQUEÁVEL DE 5/8 X 1M	OUTROS
4883	PARAFUSO CABEÇA QUADRADA 150 X80 X 16MM	OUTROS
4884	ESTICADOR P/CABO DE AÇO 5, 8 a 10 e 16MM	OUTROS
4885	TRANSFORMADOR CORRENTE TP JANELA 100-5A CL0,560	OUTROS
4886	TRANSFORMADOR  CORRENTE TP JANELA 200-5A CL0,560	OUTROS
4887	TRANSFORMADOR CORRENTE TP JANELA 300-5A CL0,560	OUTROS
4888	CHAVE COMBINADA BOCA ESTRIA S/ISOL DE 7MM	FERRAMENTAL
4889	ESTICADOR P/CABO DE AÇO 3,18 a 12,7MM	OUTROS
4890	CUNA P/COLETOR DE DADOS	OUTROS
4892	TALHADEIRA TIPO CORTA CHÃO DE 100X350MM	OUTROS
4893	ENXADA 2.5 LIBRAS	OUTROS
4894	ENXADÃO TAMANHO 38 X 105 X 305 MM	FERRAMENTAL
4895	FOICE P/MATO TAMANHO 35X280X95MM	FERRAMENTAL
4896	FUSÍVEL HH TIPO U8 1000MVA 17,5KV 25A	OUTROS
4897	CAPACITADORES 220/39A	OUTROS
4898	CRONÔMETRO C/BATERIA	OUTROS
4899	FASÍMETRO DIGITAL MODELO FS30 - GUBINTEC	OUTROS
4900	BARRAMENTO BIFÁSICO REF.DED1841 - VERSÃO OBSOLETA	OUTROS
4901	BARRAMENTO TRIFÁSICO REF.DED1842R2 - VERSÃO OBSOLETA	OUTROS
4902	COLETOR DE DADOS MODELO JDG03 3x240/415V 50/60Hz	OUTROS
4903	COLETOR DADOS MODELO ECO486 METEOR (OBSOLETO)	OUTROS
4904	COLETOR DADOS MODELO WORKAOBUT 2MB RA PSION (OBSOLETO)	OUTROS
4906	TINTA ESMALTE SINTÉTICO C0R ALUM.- GALÃO 3.6 LITROS	OUTROS
4907	TINTA ESMALTE SINTÉTICO ACETINADO COR AZUL DEL REI	OUTROS
4908	TINTA ACRILICO FOSCO COR BRANCO NEVE	OUTROS
4909	CONECTOR PARAFUSO FENDIDO LIGA METAL P/CABO 2.5 DE 16M -"OBSOLETO"	OUTROS
4910	CONECTOR CUNHA DERIVADO A/VIOLETA DED 1786 I1 "OBSOLETO"	OUTROS
4911	CONECTOR CUNHA DERIVADO B/LARANJA DED 1786 I2 "OBSOLETO"	OUTROS
4912	CONECTOR CUNHA DERIVADO C/MARRON  DED 1786 I3 "OBSOLETO"	OUTROS
4913	CONECTOR A COMP ESTRIBO CA 2 AWG "OBSOLETO"	OUTROS
4915	CONECTOR PARAFUSO FENDIDO ALUMINIO 35MM "OBSOLETO"	OUTROS
4916	CABO CONTROLE CU 0,6/1KV 4MM²	OUTROS
4918	CONDUTOR FLEXÍVEL CU 1 X 2,5MM²	OUTROS
4919	CONDUTOR CONCENTRICO CU BIPOLAR 4MM²	OUTROS
4920	CABO CONTROLE CU 4X6+6MM	OUTROS
4921	CABO CONTROLE CU 6X6MM	OUTROS
4922	CABO CONTROLE CU 4X4MM	OUTROS
4925	EXTENSÃO BRASICON 16A - 3P-S-1724	OUTROS
4926	PETCH PHENIO C/24 JANELAS	OUTROS
4927	NIPLE PVC ROSCA 1/2"	OUTROS
4928	TÊ SOLDÁVEL PVC 20MM	OUTROS
4930	PORCA SEXTAVADA FERRO ZINCADO DE 5/8"	OUTROS
4931	CORREDIÇA APOIADA C/PARAFUSO 45CM - BRANCA	OUTROS
4932	BATERIA MODELO 4R25  6V	OUTROS
4933	CHAVE GRIFO TAM.14"	FERRAMENTAL
4935	DESEMPENADEIRA LISA C/ CABO DE MADEIRA-PEDREIRO	OUTROS
4936	LAÇO PREFORMADO AÇO CABO PRÉ REUNIDO 50MM²	OUTROS
4937	GRAMPO ATERRAMENTO REF.PM-0085 R4	OUTROS
4938	CRONÔMETRO DIGITAL MODELO KK2802	OUTROS
4939	MACHADO C/CABO DE 2.360G	OUTROS
4940	ETIQUETA ADESIVA TRANSPARENTE 19X3.2CM 02 CORES MODULO MEDIDA	OUTROS
4942	TERMINAL MONOFASICO DE CONSULTA DE CONSUMO DE ENERGIA	OUTROS
4943	SIKA TIOPO TOP 107 EM GALÃO DE 3.6L	OUTROS
4944	TEXTURA RÚSTICA COR BRANCA LATA 18L	OUTROS
4945	TOTALIZADOR DE PULSOS CONTADOR ENERGIA	OUTROS
4946	CARRINHO DE MÃO C/ RODA MACIÇA	OUTROS
4949	CALÇA EM BRIM AZUL ROYAL TAM.GG UNIF	OUTROS
4952	CAIXA MEDIDOR MONOFASICO C/4 VENT.TAMPA "OBSOLETO"	OUTROS
4953	CAIXA POLIMETRO DE PROTEÇÃO GERAL MED 200A "OBSOLETO"	OUTROS
4954	CAIXA POLIMETRO DE CONC-MED P/12+1 MÓDULOS "OBSOLETO"	OUTROS
4955	CAIXA POLIMETRO MEDIDOR P/48 DISJ. C/ BARRAMENTO.	OUTROS
4957	ETIQUETA ADESIVA "PERIGO DE ALTA TENSÃO"  18X60CM	OUTROS
4958	MODULO DE CONTROLE MODELO JDG03 - 240V/ 60Hz	OUTROS
4959	CAIXA MEDIDOR POLIFASICO 407X273mm "LOGO CERJ- OBSOLETO"	OUTROS
4961	LÂMPADA MISTA DE 500W	OUTROS
4962	LAMPADA FLUORESCENTE 20W	OUTROS
4963	PORCA DE 3/16" X 5/16"	OUTROS
4964	CAPTOR DE DADOS TP900 HHU C/CABO	OUTROS
4965	SERRA TIPO COPO TAM 13/8" 35MM MOD.HSS	FERRAMENTAL
4967	CURVA PVC RIG 50MM 90º CLASSE ADDT 1760	OUTROS
4968	CAPACETE SEGURANÇAII ABA FRONTAL38MM LOGO ENEL "FORA PADRÃO ENEL"	EPI
4969	FAROLETE MANUAL MODELO 206C-COM H3 E INTERRUPTOR	OUTROS
4970	PARAFUSO SEXTAVADO INTERNO M5X12MM INOX	OUTROS
4971	PARAFUSO SEXTAVADO INTERNO M5X20MM INOX	OUTROS
4972	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA S/ SUPORTE L – YIKUN	OUTROS
4973	PARA-RAIOS DISTRIBUIÇÃO 30kV-10kA S/SUPORTE L	OUTROS
4974	CHAVE FUSIVEL 38 KVA S/SUPORTE	OUTROS
4975	ISOLADOR DE PORCELANA PINO MONOCORPO 15kV N95/3 MARROM ESCURO	OUTROS
4976	ISOLADOR DE PORCELANA MULTICORPO ANSI 55-5 (GRANDE)	OUTROS
4977	ISOLADOR DE PORCELANA MONOCORPO ANSI 55-5 -13KN BI 115KV	OUTROS
4978	CABO DE ALUMÍNIO 13.8KV  BLOQUEADO 150MM² MODELO XLPE	OUTROS
4979	CABO DE ALUMINIO ISOLADO MULT 3X1X35+35MM² 0,6KV	OUTROS
4980	CONE DE SINALIZAÇÃO  S/FURO P/FITA DE 75CM BR/LARANJA (FORA DO PADRÃO ENEL)	EPC
4981	CONE DE SINALIZAÇÃO  C/FURO P/FITA DE 75CM BR/LARANJA (FORA DO PADRÃO ENEL)	EPC
4982	CONE DE SINALIZAÇÃO  C/FURO P/FITA DE 75CM BR/LARANJA EMBORRACHADO	EPC
4983	CAMISA ANTI-CHAMAS AZUL ROYAL TAM.GG-EPI	EPI
4996	REATOR ELET. RE220S-P BIVOLT 127/220V	OUTROS
4998	CHAVE INGLESA S/ISOLAMENTO TAM 10"	FERRAMENTAL
4999	CHAVE INGLESA S/ISOLAMENTO TAM 8"	FERRAMENTAL
5000	TALHADEIRA DE AÇO DE 19MMX300MM - 12"	FERRAMENTAL
5001	TALHADEIRA DE AÇO DE 16"	FERRAMENTAL
5002	SWITCH 8 PORTAS 10/100 MBPS	OUTROS
5012	PARAFUSO FENDA 1/4' X 3/8'	OUTROS
5013	PARAFUSO FENDA  1/4" X  1.1/2"	OUTROS
5014	PARAFUSO FENDA  1/4"  X  2"	OUTROS
5015	PARAFUSO FENDA  1/4"- 20 X 3/8"	OUTROS
5016	PARAFUSO FENDA  5" X 16" INOX	OUTROS
5033	ROTEADOR WI-FI 	OUTROS
5034	ACOPLADOR CAPACITIVO	OUTROS
5040	LUVA ULTRANE PLUS MAPA 557 TAM.9	EPI
5048	PARAFUSO SEXTAVADO INTERNO CABEÇA CHATA M5X20MM INOX	OUTROS
5049	PARAFUSO SEXTAVADO INTERNO M5X15MM INOX	OUTROS
5050	INTERFACE DE COMUNICAÇÃO PLC PRO 16 MODEL III	OUTROS
5053	CONVERSOR SERIAL RS232/485	OUTROS
5054	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA BRANCO	OUTROS
5056	DISPLAY CAM 127V	OUTROS
5057	MODULO DE CONTROLE MODELO JDC02HD 120V 60Hz VERSÃO 03	OUTROS
5058	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO RF 240V-60 VERSÃO-0	OUTROS
5059	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA S/ SUPORTE L C/CAPA DE PROTEÇÃO	OUTROS
5060	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA AMARELO	OUTROS
5061	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA LARANJA	OUTROS
5062	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA CINZA	OUTROS
5064	LACRE DE SEGURANÇA SEMI-BARREIRA - MOD.SRA VERDE	OUTROS
5068	PORTA FUSÍVEL YKF CO-15 C/PROLONGADOR 2KA - CARTUCHO VERMELHO	OUTROS
5106	LIVRO DE PROTOCOLO 1/4 100FL	ESCRITÓRIO
5113	TESOURA CORTA VERGALHÃO 24" ISOLADA	FERRAMENTAL
5115	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO XGG	EPI
5122	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO XGG	EPI
5127	TAMPA DE BORNE P/ MEDIDOR MONOFÁSICO	OUTROS
5131	SABONETE LÍQUIDO 5L	OUTROS
5132	PAPEL HIGIÊNICO	OUTROS
5134	ESPONJA DUPLA FACE  VD/AM	OUTROS
5152	CAMERA FOTOGRAFICA	OUTROS
5154	FITILHO DE AMARRAÇÃO 10MM	OUTROS
5181	PLACA DE SINALIZAÇÃO EM PVC 2MM- "NÃO OPERE" - 33X25CM	OUTROS
5182	LOAD BUSTER - INTERRUPTOR DE CARGA 24,5KV	FERRAMENTAL
5183	BASTÃO PARA GRAMPO DE LINHA VIVA 32X3190MM COM BOLSA	OUTROS
5184	DETECTOR DE TENSÃO POR CONTATO - MT / BT - 50V A 90KV	EPC
5185	PONTEIRA DE VARA DE MANOBRA	FERRAMENTAL
5186	ATERRAMENTO TEMPORÁRIO ALTA TENSÃO - 22KV COM 3 BASTÕES	OUTROS
5187	ATERRAMENTO TEMPORÁRIO REDE SECUNDÁRIA BT COM 4 BASTÕES DE 300MM	OUTROS
5204	DETECTOR DE TENSÃO POR APROXIMAÇÃO - TIPO CANETA - 50 A 1.000 V	EPC
5206	CAIXA METÁLICA-SMF 1200x800x310MM BEGE REAL7032 PINTURA ELETROSTATICA	OUTROS
5232	DETERGENTE LÍQUIDO 5L	OUTROS
5239	LUVA ISOLANTE DE BORRACHA CLASSE 2 TIPO II TAMANHO 10,5''	EPI
5247	SWITCH 24 PORTAS 10/100/1000	OUTROS
5251	BATERIA 4250 1/2 AA 3.6V LITHIUM - DIÂM.14MM X ALT.25MM	OUTROS
5259	CAVADEIRA ARTICULADA LIGHT	FERRAMENTAL
5260	CAVADEIRA RETA, CABO METÁBILICO E SOCADOR	FERRAMENTAL
5267	DESINFETANTE 5L FLORAL	OUTROS
5271	MEDIDOR ELETRONICO TRIFÁSICO MTSE02 C1, 120V	OUTROS
5272	CAPACIMETRO DIGITAL	OUTROS
5285	VARA DE MANOBRA	FERRAMENTAL
5318	MANGA DE BORRACHA CLASSE 2	EPC
5320	LUVAS DE BORRACHA CLASSE "0"	EPI
5335	LUVA DE VAQUETA PRETA	EPI
5351	CALÇO DE RODA PARA CAMINHÃO	OUTROS
5417	ETIQUETA ADESIVA LOGO ANATEL P/MÓDULO RF	OUTROS
5444	CABO VGA X VGA 3M	OUTROS
5455	LUVA DE COBERTURA P/LUVA DE BORRACHA-EPI  TAM. P	EPI
5456	LUVA DE COBERTURA P/LUVA DE BORRACHA-EPI  TAM. M	EPI
5466	HD EXTERNO PORTATIL 1TB USB 3.0	OUTROS
5469	CAPA DE LONA P/ CESTO AÉREO (LINER)	OUTROS
5485	ESCADA EXTENS FIBRA VID 4690X7800 EMS-56	OUTROS
5486	ESCADA SINGELA FIBRA DE VIDRO 4,00M	OUTROS
5491	MODULO CONTROLE CORTE/RELIG.240V.60HZ,FPM	OUTROS
5496	GARRAFÃO TÉRMICO P/ ÁGUA, CAP. 5 LITROS	OUTROS
5497	CHAVE FUSIMECK	FERRAMENTAL
5498	CHAVE DE FENDA N° 10 COM HASTE ISOLADA  - 1/4x4''	FERRAMENTAL
5499	CHAVE DE FENDA N° 8 COM HASTE ISOLADA 1/8''x3.1/8''	FERRAMENTAL
5500	GUIA PASSA FIO	OUTROS
5501	PRANCHETA	ESCRITÓRIO
5509	BROCA 3/16 AÇO RÁPIDO	OUTROS
5510	BROCA 3/16 VÍDEA PARA CONCRETO	OUTROS
5511	CHAVE FACA RETA ISOLADA 1000V	FERRAMENTAL
5512	TALHADEIRA DE AÇO 150/16	FERRAMENTAL
5513	JOGO DE CHAVE ALLEN	FERRAMENTAL
5515	CAVADEIRA SEM CABO RETA	FERRAMENTAL
5516	LÂMPADA DE 200W X127V	OUTROS
5517	LANTERNA TAMANHO MÉDIO	OUTROS
5518	RECEPTÁCULO PARA LÂMPADA	OUTROS
5526	CORDA P/AMARRAR ESCADA - 3 METROS - ESPESSURA DE 10MM	OUTROS
5527	CORDA - IÇAMENTO - 20 METROS - ESPESSURA DE 1MM	OUTROS
5528	MULTÍMETRO LCD 3 1/2 750 VCA	OUTROS
5531	CALCULADORA	ESCRITÓRIO
5532	LUPA - DIÂMETRO DE 10CM	OUTROS
5539	ETIQUETA TRANS CAM BRASIL 1723001	OUTROS
5570	BOLSA PARA MANGA ISOLANTE	OUTROS
5573	CAMISA SOCIAL MANGA LONGA AZUL ESCURO P	OUTROS
5574	CAMISA SOCIAL MANGA CURTA AZUL CLARO P	OUTROS
5576	CAMISA SOCIAL MANGA LONGA AZUL ESCURO M	OUTROS
5577	CAMISA SOCIAL MANGA LONGA AZUL ESCURO G	OUTROS
5578	CAMISA SOCIAL MANGA LONGA AZUL ESCURO GG	OUTROS
5579	CAMISA SOCIAL MANGA CURTA AZUL CLARO M	OUTROS
5580	CAMISA SOCIAL MANGA CURTA AZUL CLARO G	OUTROS
5581	CAMISA SOCIAL MANGA CURTA AZUL CLARO GG	OUTROS
5582	CINTA 50MM 2TON POLISTER VERMELHA, GANCHO UNIVERSAL 2,00MT	OUTROS
5583	PONTEIRA 50MM 2TON POLISTER VERMELHA, GANCHO UNIVERSAL 0,30 MT	OUTROS
5584	CINTA 25MM, PE, 500KG GANCHO S MOTO 5/16 1,00 MT	OUTROS
5585	PONTEIRA 25MM, PE, 500KG G S 5/16, FIV CATRACA 0,20 MT	OUTROS
5592	FAIXA REFLETIVA P/ CONE	EPC
5593	VISEIRA INCOLOR PARA PROTETOR FACIAL MSA 200	EPI
5603	HD EXTERNO 500 GB	OUTROS
5623	ADESIVO VELOCIDADE MÁX. 80KM 5CM	OUTROS
5624	ADESIVO VELOCIDADE MÁX. 80KM 20CM	OUTROS
5644	GPS GARMIN NUVI 42	OUTROS
5646	MANTA BORRACHA BT MODELO CL TAMANHO 800X330	EPC
5654	ETIQUETA PAINEL NAMEPLATE 5(20) A	OUTROS
5657	TENDA 6X3	OUTROS
5675	CANETA PARA QUADRO BRANCO COR PRETA	ESCRITÓRIO
5676	ETIQUETA PAINEL NAMEPLATE ION 7650B	OUTROS
