PRODUTO	Endereço	Material	Texto breve material	Unidade de medida	 Saldo do sistema 	1ª CONT.	2ª CONT.	3ª CONT.	Posição final Inventariada	Diferença	Custo MÉDIO unitário (base out.) 	Diferença em R$	Total em R$						
3	B-03	3680	"SERRA TIPO COPO TAM 1.1/2"" 38MM"	UND  	4	4			4	0	 R$ 33,00 	 R$ -   	 R$ 132,00 	B-033680			 132,00   		
3	B-03	4370	"SERRA COPO 25MM H0100 1"""	UND  	2	2			2	0	 R$ 23,63 	 R$ -   	 R$ 47,26 	B-034370			 47,26   		
3	B-03	4965	"SERRA TIPO COPO TAM 13/8"" 35MM MOD.HSS"	UND  	10	10			10	0	 R$ 32,37 	 R$ -   	 R$ 323,70 	B-034965			 323,70   		
3	B-03	7116	FITA REFLET P/ SINALIZ OU ISOLAM DE AREA-ENEL	ROLO	54	54			54	0	 R$ 43,76 	 R$ -   	 R$ 2.363,04 	B-037116			 2.363,04   		
3	B-04	4451	MASCARA DE PROTEÇÃO P/POEIRA - EPI	UND  	55	55			55	0	 R$ 2,50 	 R$ -   	 R$ 137,50 	B-044451			 137,50   		
3	B-05	3620	ÓCULOS SEGURANÇA LENTES INCOLOR, VIS. PAN-EPI (PRO VISION CLARO)	UND  	4	4			4	0	 R$ 6,00 	 R$ -   	 R$ 24,00 	B-053620			 24,00   		
3	B-05	3624	PROTETOR AURICULAR C/3 ESCAMAS-SILICONE-EPI	UND  	1	1			1	0	 R$ 1,50 	 R$ -   	 R$ 1,50 	B-053624			 1,50   		
3	B-05	4453	OCULOS SOBREPOR INCOLOR ET-30-EPI	UND  	7	7			7	0	 R$ 8,09 	 R$ -   	 R$ 56,63 	B-054453			 56,63   		
3	B-06	4203	PARAFUSADEIRA BATERIAL 7,2V 20NW REF.TD020	UND  	34	34			34	0	 R$ 340,00 	 R$ -   	 R$ 11.560,00 	B-064203			 11.560,00   		
3	B-06	6616	CHAVE FACA CURVA ISOLADA 1000V	UND  	22	22			22	0	 R$ 20,38 	 R$ -   	 R$ 448,36 	B-066616			 448,36   		
3	C-01	3568	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM50	UND  	1	1			1	0	 R$ 32,50 	 R$ -   	 R$ 32,50 	C-013568			 32,50   		
3	C-01	3571	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM52	UND  	4	4			4	0	 R$ 26,50 	 R$ -   	 R$ 106,00 	C-013571			 106,00   		
3	C-02	9241	CAMISA SOCIAL MASC. MANGA LONGA INDIGNO TAM. P	UND  	2	2			2	0	 R$ 89,13 	 R$ -   	 R$ 178,27 	C-029241			 178,27   		
3	C-03	4363	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM44	UND  	3	3			3	0	 R$ 26,60 	 R$ -   	 R$ 79,80 	C-034363			 79,80   		
3	C-04	8315	CAMISA POLO TÉCNICO MASC. AZUL DEGRADÊ GG	UND  	17	17			17	0	 R$ 44,00 	 R$ -   	 R$ 748,00 	C-048315			 748,00   		
3	C-05	3673	FITA DE ANCORAGEM REVESTIDA DE 1.20M C/ ABSORVEDOR	UND  	18	18			18	0	 R$ 45,00 	 R$ -   	 R$ 810,00 	C-053673			 810,00   		
3	C-05	3674	FITA DE ANCORAGEM REVESTIDA 2 METROS REF: FT-AN200P	UND  	4	4			4	0	 R$ 139,00 	 R$ -   	 R$ 556,00 	C-053674			 556,00   		
3	C-06	5593	VISEIRA INCOLOR PARA PROTETOR FACIAL MSA 200	UND  	5	5			5	0	 R$ 31,02 	 R$ -   	 R$ 155,10 	C-065593			 155,10   		
3	C-06	7334	KIT P/ FROTA C/ LOGO ENEL E 05 ADESIVOS	KIT	25	25			25	0	 R$ 39,99 	 R$ -   	 R$ 999,75 	C-067334			 999,75   		
3	D-01	5115	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO XGG	UND  	5	5			5	0	 R$ 130,00 	 R$ -   	 R$ 650,00 	D-015115			 650,00   		
3	D-01	5122	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO XGG	UND  	10	9	10		10	0	 R$ 145,00 	 R$ -   	 R$ 1.450,00 	D-015122			 1.450,00   		
3	D-02	4480	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO G	UND  	16	26	16		16	0	 R$ 145,00 	 R$ -   	 R$ 2.320,00 	D-024480			 2.320,00   		
3	D-02	8727	CAMISETE SOCIAL FEM. MANGA LONGA JEANS TAM. GG	UND  	2	2			2	0	 R$ 85,80 	 R$ -   	 R$ 171,60 	D-028727			 171,60   		
3	D-03	4480	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO G	UND  	29	29			29	0	 R$ 145,00 	 R$ -   	 R$ 4.205,00 	D-034480			 4.205,00   		
3	D-04	4482	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO GG	UND  	18	18			18	0	 R$ 145,00 	 R$ -   	 R$ 2.610,00 	D-044482			 2.610,00   		
3	D-05	7991	MOSQUETOES  TIPO PERA (TRIPLA TRAVA)	UND  	14	14			14	0	 R$ 75,01 	 R$ -   	 R$ 1.050,14 	D-057991			 1.050,14   		
3	D-06	8567	CAMISA SOCIAL MASC. MANGA LONGA TRAD. JEANS TAM. M 	UND  	4	4			4	0	 R$ 85,80 	 R$ -   	 R$ 343,20 	D-068567			 343,20   		
3	D-06	8568	CAMISA SOCIAL MASC. MANGA LONGA TRAD. JEANS TAM. G 	UND  	4	4			4	0	 R$ 89,30 	 R$ -   	 R$ 357,20 	D-068568			 357,20   		
3	D-06	8569	CAMISETE SOCIAL FEM. MANGA LONGA TRAD. JEANS TAM. M 	UND  	2	2			2	0	 R$ 89,30 	 R$ -   	 R$ 178,60 	D-068569			 178,60   		
3	D-06	8570	CAMISETE SOCIAL FEM. MANGA LONGA TRAD. JEANS TAM. G	UND  	4	4			4	0	 R$ 87,55 	 R$ -   	 R$ 350,20 	D-068570			 350,20   		
3	E-01	4004	"CAMISA BEGE C/BORDADO ""3C"" EM UNIOFFICE P/SUPERVISOR TAM XG"	UND  	5	5			5	0	 R$ 31,48 	 R$ -   	 R$ 157,40 	E-014004			 157,40   		
3	E-02	4367	"CAMISA BEGE C/BORDADO ""3C"" EM UNIOFFICE P/SUPERVISOR TAM.P"	UND  	3	3			3	0	 R$ 36,40 	 R$ -   	 R$ 109,20 	E-024367			 109,20   		
3	E-02	8318	CAMISA POLO SUPERVISOR FEM. AZUL M (LISTRA NA MANGA)	UND  	1	1			1	0	 R$ 51,43 	 R$ -   	 R$ 51,43 	E-028318			 51,43   		
3	E-02	8319	CAMISA POLO SUPERVISOR FEM. AZUL P (LISTRA NA MANGA)	UND  	3	3			3	0	 R$ 51,43 	 R$ -   	 R$ 154,29 	E-028319			 154,29   		
3	E-03	4486	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO P	UND  	18	18			18	0	 R$ 145,00 	 R$ -   	 R$ 2.610,00 	E-034486			 2.610,00   		
3	E-04	6420	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO XG	UND  	14	14			14	0	 R$ 145,00 	 R$ -   	 R$ 2.030,00 	E-046420			 2.030,00   		
3	E-04	8302	CAMISA POLO FEMININA COORDENADOR G	UND  	6	6			6	0	 R$ 43,00 	 R$ -   	 R$ 258,00 	E-048302			 258,00   		
3	E-05	4487	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO P	UND  	21	21			21	0	 R$ 130,00 	 R$ -   	 R$ 2.730,00 	E-054487			 2.730,00   		
3	E-06	4251	MANGA DE RASPA PARA SOLDADOR - EPI	UND  	6	6			6	0	 R$ 31,50 	 R$ -   	 R$ 189,00 	E-064251			 189,00   		
3	F-03	8298	CAMISA POLO TÉCNICO MASC. AZUL DEGRADÊ G	UND  	29	29			29	0	 R$ 44,00 	 R$ -   	 R$ 1.276,00 	F-038298			 1.276,00   		
3	F-03	8316	CAMISA POLO TÉCNICO MASC. AZUL DEGRADÊ M	UND  	21	21			21	0	 R$ 44,00 	 R$ -   	 R$ 924,00 	F-038316			 924,00   		
3	F-04	8300	GUARDA PÓ 3/4 MANGAS CURTAS G	UND  	21	21			21	0	 R$ 43,00 	 R$ -   	 R$ 903,00 	F-048300			 903,00   		
3	F-04	8311	GUARDA PÓ 3/4 MANGAS CURTAS M	UND  	21	21			21	0	 R$ 43,00 	 R$ -   	 R$ 903,00 	F-048311			 903,00   		
3	F-05	4390	CALÇA EM BRIM 100% ALGODÃO CINZA FUNCIONARIO P 38-40 UNIF	UND  	1	1			1	0	 R$ 24,76 	 R$ -   	 R$ 24,76 	F-054390			 24,76   		
3	F-06	5935	BANDEIROLA DE SINALIZAÇÃO PADRÃO ENEL	UND  	193	193			193	0	 R$ 17,60 	 R$ -   	 R$ 3.396,80 	F-065935			 3.396,80   		
3	G-01	4397	CALÇA FUNCIONÁRIO BRIM BEGE TAM.XG 54-60 CAM UNIF	UND  	11	11			11	0	 R$ 29,07 	 R$ -   	 R$ 319,77 	G-014397			 319,77   		
3	G-01	4403	CAMISA FUNCIONÁRIO BRIM BEGE TAM.XG 60-62 UNIF	UND  	40	40			40	0	 R$ 30,50 	 R$ -   	 R$ 1.220,00 	G-014403			 1.220,00   		
3	G-02	4396	CALÇA FUNCIONÁRIO BRIM BEGE TAM.PP 34-37 CAM UNIF	UND  	8	8			8	0	 R$ 29,07 	 R$ -   	 R$ 232,56 	G-024396			 232,56   		
3	G-02	8299	CAMISA POLO TÉCNICO FEM. AZUL DEGRADÊ G	UND  	6	6			6	0	 R$ 46,80 	 R$ -   	 R$ 280,80 	G-028299			 280,80   		
3	G-03	8096	LAMPADA H4	UND  	26	26			26	0	 R$ 13,00 	 R$ -   	 R$ 338,00 	G-038096			 338,00   		
3	G-03	8097	LAMPADA H1	UND  	64	64			64	0	 R$ 11,00 	 R$ -   	 R$ 704,00 	G-038097			 704,00   		
3	G-03	8098	LAMPADA H7	UND  	10	10			10	0	 R$ 19,00 	 R$ -   	 R$ 190,00 	G-038098			 190,00   		
3	G-04	4395	CALÇA FUNCIONÁRIO BRIM BEGE TAM.P 38-41 CAM UNIF	UND  	17	17			17	0	 R$ 29,07 	 R$ -   	 R$ 494,19 	G-044395			 494,19   		
3	G-04	4398	CAMISA FUNCIONÁRIO BRIM BEGE TAM.P 44-46 UNIF	UND  	18	18			18	0	 R$ 30,50 	 R$ -   	 R$ 549,00 	G-044398			 549,00   		
3	G-05	8313	CAMISA POLO TÉCNICO FEM. AZUL DEGRADÊ M	UND  	12	12			12	0	 R$ 46,80 	 R$ -   	 R$ 561,60 	G-058313			 561,60   		
3	G-05	8314	CAMISA POLO TÉCNICO FEM. AZUL DEGRADÊ P	UND  	3	3			3	0	 R$ 46,80 	 R$ -   	 R$ 140,40 	G-058314			 140,40   		
3	G-06	4641	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAMANHO M	UND  	1	1			1	0	 R$ 23,90 	 R$ -   	 R$ 23,90 	G-064641			 23,90   		
3	G-06	4642	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAMANHO G	UND  	1	1			1	0	 R$ 26,55 	 R$ -   	 R$ 26,55 	G-064642			 26,55   		
3	G-06	5877	CAMISA SOCIAL MANGA CURTA AZUL CLARO TAMANHO ESPECIAL	UND  	2	2			2	0	 R$ 49,00 	 R$ -   	 R$ 98,00 	G-065877			 98,00   		
3	H-01	4178	CALÇA PADRAO ENEL FAIXA REFLETIVA XG	UND  	6	6			6	0	 R$ 40,00 	 R$ -   	 R$ 240,00 	H-014178			 240,00   		
3	H-02	5577	CAMISA SOCIAL MANGA LONGA AZUL ESCURO G	UND  	2	2			2	0	 R$ 47,65 	 R$ -   	 R$ 95,30 	H-025577			 95,30   		
3	H-02	7609	CAMISA SOCIAL MANGA LONGA AZUL ESCURO XG	UND  	2	2			2	0	 R$ 47,65 	 R$ -   	 R$ 95,30 	H-027609			 95,30   		
3	H-03	8092	LAMPADA TORPEDO	UND  	24	24			24	0	 R$ 4,00 	 R$ -   	 R$ 96,00 	H-038092			 96,00   		
3	H-03	8093	LAMPADA UM POLO	UND  	7	7			7	0	 R$ 2,20 	 R$ -   	 R$ 15,40 	H-038093			 15,40   		
3	H-03	8094	LAMPADA DOIS POLOS	UND  	24	24			24	0	 R$ 2,70 	 R$ -   	 R$ 64,80 	H-038094			 64,80   		
3	H-03	8095	LAMPADA AMARELA PINO Y	UND  	11	11			11	0	 R$ 6,00 	 R$ -   	 R$ 66,00 	H-038095			 66,00   		
3	H-04	8089	LAMPADA CAMARÃO	UND  	30	30			30	0	 R$ 2,40 	 R$ -   	 R$ 72,00 	H-048089			 72,00   		
3	H-04	8090	LAMPADA 67 5W	UND  	17	17			17	0	 R$ 1,99 	 R$ -   	 R$ 33,83 	H-048090			 33,83   		
3	H-04	8091	LAMPADA 69 4W	UND  	30	30			30	0	 R$ 1,20 	 R$ -   	 R$ 36,00 	H-048091			 36,00   		
3	H-05	8303	CAMISA SOCIAL DE MANGA CURTA PORTARIA XXG	UND  	3	3			3	0	 R$ 54,20 	 R$ -   	 R$ 162,60 	H-058303			 162,60   		
3	H-05	8310	GUARDA PÓ 3/4 MANGAS CURTAS GG	UND  	6	6			6	0	 R$ 43,00 	 R$ -   	 R$ 258,00 	H-058310			 258,00   		
3	H-05	8312	GUARDA PÓ 3/4 MANGAS CURTAS P	UND  	2	2			2	0	 R$ 43,00 	 R$ -   	 R$ 86,00 	H-058312			 86,00   		
3	H-06	4624	TACÓGRAFO DE DISCO 180KM P/ 7 DIAS	UND  	1	1			1	0	 R$ 36,00 	 R$ -   	 R$ 36,00 	H-064624			 36,00   		
3	H-06	4643	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAM.XG	UND  	1	1			1	0	 R$ 45,00 	 R$ -   	 R$ 45,00 	H-064643			 45,00   		
3	I-01	8308	CAMISA POLO MASCULINA COORDENADOR P	UND  	7	7			7	0	 R$ 40,00 	 R$ -   	 R$ 280,00 	I-018308			 280,00   		
3	I-02	8306	CAMISA POLO MASCULINA COORDENADOR GG	UND  	3	3			3	0	 R$ 40,00 	 R$ -   	 R$ 120,00 	I-028306			 120,00   		
3	I-03	4181	CAMISA PADRAO ENEL  FAIXA REFLETIVA GG	UND  	17	17			17	0	 R$ 40,00 	 R$ -   	 R$ 680,00 	I-034181			 680,00   		
3	I-03	5578	CAMISA SOCIAL MANGA LONGA AZUL ESCURO GG	UND  	2	2			2	0	 R$ 41,50 	 R$ -   	 R$ 83,00 	I-035578			 83,00   		
3	I-04	4176	CALÇA PADRAO ENEL FAIXA REFLETIVA M	UND  	1	1			1	0	 R$ 40,00 	 R$ -   	 R$ 40,00 	I-044176			 40,00   		
3	I-04	5573	CAMISA SOCIAL MANGA LONGA AZUL ESCURO P	UND  	3	3			3	0	 R$ 42,75 	 R$ -   	 R$ 128,25 	I-045573			 128,25   		
3	I-04	8304	CAMISA POLO FEMININA COORDENADOR M	UND  	2	2			2	0	 R$ 43,00 	 R$ -   	 R$ 86,00 	I-048304			 86,00   		
3	I-05	4180	CAMISA PADRAO ENEL  FAIXA REFLETIVA M	UND  	31	31			31	0	 R$ 36,00 	 R$ -   	 R$ 1.116,00 	I-054180			 1.116,00   		
3	I-05	5573	CAMISA SOCIAL MANGA LONGA AZUL ESCURO P	UND  	3	3			3	0	 R$ 42,75 	 R$ -   	 R$ 128,25 	I-055573			 128,25   		
3	I-05	5576	CAMISA SOCIAL MANGA LONGA AZUL ESCURO M	UND  	24	24			24	0	 R$ 43,73 	 R$ -   	 R$ 1.049,52 	I-055576			 1.049,52   		
3	I-06	4175	CALÇA PADRAO ENEL FAIXA REFLETIVA P	UND  	75	50	75		75	0	 R$ 40,00 	 R$ -   	 R$ 3.000,00 	I-064175			 3.000,00   		
3	J-01	4422	GUARDA PÓ EM BRIM LEVE BRANCA TAM.XG UNIF	UND  	3	3			3	0	 R$ 22,50 	 R$ -   	 R$ 67,50 	J-014422			 67,50   		
3	J-02	4419	GUARDA PÓ EM BRIM LEVE BRANCA TAM.G UNIF	UND  	6	6			6	0	 R$ 38,38 	 R$ -   	 R$ 230,28 	J-024419			 230,28   		
3	J-02	4420	GUARDA PÓ EM BRIM LEVE BRANCA TAM.GG UNIF	UND  	20	20			20	0	 R$ 24,50 	 R$ -   	 R$ 490,00 	J-024420			 490,00   		
3	J-03	8305	CAMISA POLO FEMININA COORDENADOR P	UND  	4	4			4	0	 R$ 43,00 	 R$ -   	 R$ 172,00 	J-038305			 172,00   		
3	J-03	8719	CAMISA POLO FEMININA COORDENADOR GG	UND  	6	6			6	0	 R$ 43,00 	 R$ -   	 R$ 258,00 	J-038719			 258,00   		
3	J-04	4364	JALECO CONFECCIONADO EM TECIDO CINZA TAM.XG	UND  	2	2			2	0	 R$ 21,90 	 R$ -   	 R$ 43,80 	J-044364			 43,80   		
3	J-04	4435	JALECO CONFECCIONADO EM TECIDO CINZA TAM.GG	UND  	9	9			9	0	 R$ 21,90 	 R$ -   	 R$ 197,10 	J-044435			 197,10   		
3	J-05	4434	JALECO CONFECCIONADO EM TECIDO CINZA TAM.G	UND  	11	11			11	0	 R$ 21,90 	 R$ -   	 R$ 240,90 	J-054434			 240,90   		
3	J-05	4436	JALECO CONFECCIONADO EM TECIDO CINZA TAM.M	UND  	8	8			8	0	 R$ 21,90 	 R$ -   	 R$ 175,20 	J-054436			 175,20   		
3	J-06	5580	CAMISA SOCIAL MANGA CURTA AZUL CLARO G	UND  	7	7			7	0	 R$ 32,41 	 R$ -   	 R$ 226,87 	J-065580			 226,87   		
3	K-01	4768	MATRIZ W 243 P/ ALICATE MD 6	CAIXA	2	2			2	0	 R$ 45,00 	 R$ -   	 R$ 90,00 	K-014768			 90,00   		
3	K-01	4769	MATRIZ W 163 P/ ALICATE MD 6	CAIXA	2	2			2	0	 R$ 65,20 	 R$ -   	 R$ 130,40 	K-014769			 130,40   		
3	K-01	4770	MATRIZ W 162 P/ ALICATE MD 6	CAIXA	1	1			1	0	 R$ 63,88 	 R$ -   	 R$ 63,88 	K-014770			 63,88   		
3	K-01	4771	MATRIZ WC P/ ALICATE MD 6	CAIXA	2	2			2	0	 R$ 45,00 	 R$ -   	 R$ 90,00 	K-014771			 90,00   		
3	K-01	4772	MATRIZ WO P/ ALICATE MD 6	CAIXA	2	2			2	0	 R$ 45,00 	 R$ -   	 R$ 90,00 	K-014772			 90,00   		
3	K-01	4773	MATRIZ W 249 P/ ALICATE MD 6	CAIXA	5	5			5	0	 R$ 45,00 	 R$ -   	 R$ 225,00 	K-014773			 225,00   		
3	K-01	4823	ESQUADRO C/ CABO PLASTICO 20CM	UND  	1	1			1	0	 R$ 6,56 	 R$ -   	 R$ 6,56 	K-014823			 6,56   		
3	K-01	4998	"CHAVE INGLESA S/ISOLAMENTO TAM 10"""	UND  	1	1			1	0	 R$ 8,48 	 R$ -   	 R$ 8,48 	K-014998			 8,48   		
3	K-01	5929	ROLDANA PARA ESCADA	UND  	1	1			1	0	 R$ 23,00 	 R$ -   	 R$ 23,00 	K-015929			 23,00   		
3	K-01	6632	MATRIZ P/ ALICATE Y35 (321)	PAR  	2	2			2	0	 R$ 65,21 	 R$ -   	 R$ 130,42 	K-016632			 130,42   		
3	K-01	6647	MATRIZ P/ Y-35 (249)	PAR  	2	2			2	0	 R$ 62,84 	 R$ -   	 R$ 125,68 	K-016647			 125,68   		
3	K-01	8800	PORTA FOLDER ACRÍLICO A4	UND  	3	3			3	0	 R$ 23,23 	 R$ -   	 R$ 69,69 	K-018800			 69,69   		
3	K-02	4795	LUVA DE SEGURANÇA NITRÍLICA  Nº28359- TAM.10 -EPI	UND  	3	6	3		3	0	 R$ 7,00 	 R$ -   	 R$ 21,00 	K-024795			 21,00   		
3	K-02	7131	BALACLAVA	UND  	30	30			30	0	 R$ 92,00 	 R$ -   	 R$ 2.760,00 	K-027131			 2.760,00   		
3	K-03	3928	BROCA DE AÇO RAPIDO 3 MM	UND  	3	3			3	0	 R$ 2,55 	 R$ -   	 R$ 7,65 	K-033928			 7,65   		
3	K-03	3937	CHAVE ALLEN DE 10MM	UND  	9	9			9	0	 R$ 3,65 	 R$ -   	 R$ 32,85 	K-033937			 32,85   		
3	K-03	3938	CHAVE ALLEN DE 5 MM	UND  	1	1			1	0	 R$ 40,40 	 R$ -   	 R$ 40,40 	K-033938			 40,40   		
3	K-03	3939	CHAVE ALLEN DE 6 MM	UND  	1	1			1	0	 R$ 3,00 	 R$ -   	 R$ 3,00 	K-033939			 3,00   		
3	K-03	3940	CHAVE ALLEN DE 7MM	UND  	7	7			7	0	 R$ 2,30 	 R$ -   	 R$ 16,10 	K-033940			 16,10   		
3	K-03	3941	CHAVE ALLEN DE 8MM	UND  	3	3			3	0	 R$ 2,75 	 R$ -   	 R$ 8,25 	K-033941			 8,25   		
3	K-03	3942	CHAVE ALLEN DE 9MM	UND  	11	11			11	0	 R$ 2,89 	 R$ -   	 R$ 31,79 	K-033942			 31,79   		
3	K-03	4818	"BROCA DE VÍDEA 3/8"""	UND  	2	2			2	0	 R$ 7,25 	 R$ -   	 R$ 14,50 	K-034818			 14,50   		
3	K-03	4822	CORRENTE P/MOTO SERRA MODELO 08 S	UND  	4	4			4	0	 R$ 75,90 	 R$ -   	 R$ 303,60 	K-034822			 303,60   		
3	K-04	3945	CHAVE COMBINADA S/ISOL 9MM BOCA ESTRIA	UND  	1	1			1	0	 R$ 7,78 	 R$ -   	 R$ 7,78 	K-043945			 7,78   		
3	K-04	3949	"JOGO DE CHAVES DE BOCA, DE 1/4"" A 1.5/8"" - COM 11 PEÇAS"	UND  	1	1			1	0	 R$ 419,00 	 R$ -   	 R$ 419,00 	K-043949			 419,00   		
3	K-04	3954	"CHAVE GRIFO TAM.12"""	UND  	1	1			1	0	 R$ 32,13 	 R$ -   	 R$ 32,13 	K-043954			 32,13   		
3	K-04	5513	JOGO DE CHAVE ALLEN	UND  	1	1			1	0	 R$ 19,90 	 R$ -   	 R$ 19,90 	K-045513			 19,90   		
3	K-05	3925	"BROCA AÇO RAPIDO 3/32"""	UND  	246	246			246	0	 R$ 3,66 	 R$ -   	 R$ 900,36 	K-053925			 900,36   		
3	K-05	3926	BROCA DE AÇO RAPIDO 10,0MM	UND  	6	6			6	0	 R$ 1,46 	 R$ -   	 R$ 8,76 	K-053926			 8,76   		
3	K-05	3927	BROCA DE AÇO RAPIDO 16MM	UND  	5	5			5	0	 R$ 8,44 	 R$ -   	 R$ 42,20 	K-053927			 42,20   		
3	K-05	3930	BROCA DE AÇO RAPIDO 7 MM	UND  	18	18			18	0	 R$ 5,50 	 R$ -   	 R$ 99,00 	K-053930			 99,00   		
3	K-05	3931	BROCA DE VIDEA 10MM	UND  	13	13			13	0	 R$ 5,66 	 R$ -   	 R$ 73,58 	K-053931			 73,58   		
3	K-06	4618	LACRE TRANK 1 C/RABICHO AMARELO	UND  	800	800			800	0	 R$ 0,16 	 R$ -   	 R$ 128,00 	K-064618			 128,00   		
3	K-06	4841	FITA ZEBRADA AMARELA/PRETA 70MM P/200M-EPC	UND  	22	22			22	0	 R$ 7,50 	 R$ -   	 R$ 165,00 	K-064841			 165,00   		
3	K-06	5574	CAMISA SOCIAL MANGA CURTA AZUL CLARO P	UND  	7	7			7	0	 R$ 35,09 	 R$ -   	 R$ 245,63 	K-065574			 245,63   		
3	L-01	5582	CINTA 50MM 2TON POLISTER VERMELHA, GANCHO UNIVERSAL 2,00MT	UND  	21	21			21	0	 R$ 18,00 	 R$ -   	 R$ 378,00 	L-015582			 378,00   		
3	L-01	5584	CINTA 25MM, PE, 500KG GANCHO S MOTO 5/16 1,00 MT	UND  	13	13			13	0	 R$ 12,00 	 R$ -   	 R$ 156,00 	L-015584			 156,00   		
3	L-01	5585	PONTEIRA 25MM, PE, 500KG G S 5/16, FIV CATRACA 0,20 MT	UND  	13	13			13	0	 R$ 12,00 	 R$ -   	 R$ 156,00 	L-015585			 156,00   		
3	L-02	5583	PONTEIRA 50MM 2TON POLISTER VERMELHA, GANCHO UNIVERSAL 0,30 MT	UND  	14	14			14	0	 R$ 42,00 	 R$ -   	 R$ 588,00 	L-025583			 588,00   		
3	L-02	8148	CABO DE IMPRESSORA 10 METROS	UND  	3	3			3	0	 R$ 89,90 	 R$ -   	 R$ 269,70 	L-028148			 269,70   		
