Endereço		Local	Nível	Posição	LP	Código	Descrição	Cen	Dep	Status	Qtde	Série	Fabricante	Mês/Ano fabricação
C1P01	1	C1	P	1	163877	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS MONT	1	1136536	ROMAGNOLE	-
C1P01	1	C1	P	1	170672	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1254996	ROMANG	7/2020
C1A02	1	C1	A	2	165198	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1046010423	weg	-
C1B02	1	C1	B	2	159260	397968	TRANSFORMADOR DISTR MONOF 75,0KVA	11	15	DEPS	1	1070313	ITB	-
C1C02	1	C1	C	2	164009	397968	TRANSFORMADOR DISTR MONOF 75,0KVA	11	15	DEPS MONT	1	1139930	ITB	4/2018
C1A03	1	C1	A	3	146965	397143	TRANSFORMADOR DISTR TRIF 45,0KVA 6/13KV	11	15	DEPS	1	24914580	WEG	12/2014
C1B03	1	C1	B	3	152917	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1001581	ROMAGNOLE	7/2015
C1C03	1	C1	C	3	163595	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1136281	ROMAGNOLE	-
C1A04	1	C1	A	4	151461	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS	1	1027616716	WEG	6/2015
C1B04	1	C1	B	4	166026	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1	1174758	ROMAGNOLE	-
C1B04	1	C1	B	4	132035	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	6	15	DEPS	1	822876	ROMAGNOLE	4/2012
C1C04	1	C1	C	4	168245	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1206844	ROMANG	11/2019
C1A05	1	C1	A	5	169658	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1229015	ROMANG	6/2020
C1B05	1	C1	B	5	152016	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1	987765	ROMAGNOLE	6/2015
C1C05	1	C1	C	5	119370	397969	TRANSFORMADOR DISTR MONOF 100,0KVA	11	15	DEPS	1	769877	ROMAGNOLE	5/2011
C1A06	1	C1	A	6	149332	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1	963064	ROMAGNOLE	1/2015
C1B06	1	C1	B	6	146191	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1	932889	ROMAGNOLE	7/2014
C1C06	1	C1	C	6	159423	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1	1084876	Romagnole	-
C1A07	1	C1	A	7	161890	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS MONT	1	1122617	Romagnole	1/2018
C1B07	1	C1	B	7	169813	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1235482	ROMANG	6/2020
C1C07	1	C1	C	7	170064	397970	TRANSFORMADOR DISTR TRIF 15KVA	11	15	DEPS	1	1245099	ROMANG	7/2020
C1A08	1	C1	A	8	150177	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1	970245	ROMAGNOLE	2/2015
C1B08	1	C1	B	8	163601	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1136287	Romagnole	-
C1C08	1	C1	C	8	161267	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1	1111013	Romagnole	9/2017
C1A09	1	C1	A	9	165732	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1	1160882	ROMAGNOLE	-
C1B09	1	C1	B	9	163120	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1	1132451	romagnole	-
C1C09	1	C1	C	9	173465	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1290231	ROMANG	4/2021
C1A10	1	C1	A	10	161913	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1122738	ITB	-
C1B10	1	C1	B	10	175113	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1	1316811	ROMANG	8/2021
C1C10	1	C1	C	10	166010	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1174742	ROMAGNOLE	-
C1A11	1	C1	A	11	165601	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1046582234	weg	-
C1B11	1	C1	B	11	171450	397022	TRANSFORMADOR DISTR TRIF 45,0KVA AP BL	11	15	DEPS	1	1266597	ROMANG	1/2021
C1C11	1	C1	C	11	170729	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1254862	ROMANG	7/2020
C1A12	1	C1	A	12	165782	397968	TRANSFORMADOR DISTR MONOF 75,0KVA	11	15	DEPS	1	1217834	itb	-
C1B12	1	C1	B	12	168262	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1206861	ROMANG	11/2019
C1C12	1	C1	C	12	172422	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS MONT	1	1276253	ROMANG	12/2020
C1A13	1	C1	A	13	136294	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	850596	ROMAGNOLE	12/2012
C1B13	1	C1	B	13	150777	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	946630	ITB	5/2015
C1C13	1	C1	C	13	173249	397147	TRANSFORMADOR DISTR MONOF 50,0KVA ISOL	11	15	DEPS	1	1283285	ROMANG	3/2021
C1A14	1	C1	A	14	161743	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1117642	ROMAGNOLE	-
C1B14	1	C1	B	14	166374	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1177012	ROMAGNOLE	-
C1C14	1	C1	C	14	169770	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1235439	ROMANG	6/2020
C1A15	1	C1	A	15	151462	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS MONT	1	1027616717	WEG	6/2015
C1B15	1	C1	B	15	140496	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	876032	ROMAGNOLE	6/2013
C1C15	1	C1	C	15	168463	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1217234	ROMANG	1/2020
C1A16	1	C1	A	16	139539	397969	TRANSFORMADOR DISTR MONOF 100,0KVA	11	15	DEPS	1	874453	ROMAGNOLE	5/2013
C1B16	1	C1	B	16	169092	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1220519	ROMANG	1/2020
C1C16	1	C1	C	16	150389	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	950000	ROMAGNOLE	2/2015
C1A17	1	C1	A	17	151368	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS MONT	1	1027245172	weg	5/2015
C1B17	1	C1	B	17	139684	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	860560	ROMAGNOLE	6/2013
C1C17	1	C1	C	17	172406	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1276312	ROMANG	12/2020
C1A18	1	C1	A	18	164547	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1044323916	weg	-
C1B18	1	C1	B	18	166915	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1	1180397	ROMANG	1/2019
C1C18	1	C1	C	18	166869	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1180351	romagnole	-
C1A19	1	C1	A	19	170513	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1	1249757	ROMANG	6/2020
C1B19	1	C1	B	19	166151	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	1175017	ROMAGNOLE	-
C1C19	1	C1	C	19	170730	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1254863	ROMANG	7/2020
C1A20	1	C1	A	20	166687	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1047798378	weg	-
C1B20	1	C1	B	20	170715	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1254848	ROMANG	7/2020
C1C20	1	C1	C	20	169312	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1225732	ROMANG	1/2020
C1A21	1	C1	A	21	169465	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1225815	ROMAGNOLE	1/2020
C1B21	1	C1	B	21	168542	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1217328	romagnole	1/2020
C1C21	1	C1	C	21	166796	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1180291	romagnole	-
C1A22	1	C1	A	22	160748	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1	1093249	Romagnole	-
C1B22	1	C1	B	22	166886	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1180483	romagnole	-
C1C22	1	C1	C	22	168185	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1206769	ROMANG	11/2019
C1A23	1	C1	A	23	166201	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1	1174691	ROMAGNOLE	-
C1B23	1	C1	B	23	164857	334975	TRANSFORMADOR DISTR TRIF 45,0KVA AP	11	15	DEPS	1	1146870	romagnole	-
C1C23	1	C1	C	23	163509	397146	TRANSFORMADOR DISTR MONOF 25,0KVA ISOL	11	15	DEPS	1	1136558	ROMAGNOLE	-
C1C23	1	C1	C	23	163508	397146	TRANSFORMADOR DISTR MONOF 25,0KVA ISOL	11	15	DEPS	1	1136557	ROMAGNOLE	-
C1A24	1	C1	A	24	139536	397969	TRANSFORMADOR DISTR MONOF 100,0KVA	11	15	DEPS	1	874450	ROMAGNOLE	5/2013
C1B24	1	C1	B	24	171924	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1272145	ROMANG	11/2020
C1C24	1	C1	C	24	140563	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	884703	ROMAGNOLE	8/2013
C1A25	1	C1	A	25	167993	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1050672365	WEG	10/2019
C1B25	1	C1	B	25	169785	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1235454	ROMANG	6/2020
C1C25	1	C1	C	25	160441	397141	TRANSFORMADOR DISTR TRIF 15,0KVA 6/13KV	11	15	DEPS	1	1098905	Romagnole	3/2017
C1A26	1	C1	A	26	166194	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1	1174684	ROMAGNOLE	-
C1B26	1	C1	B	26	169761	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1235430	ROMANG	6/2020
C1C26	1	C1	C	26	159425	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1084878	Romagnole	-
C1A27	1	C1	A	27	144807	397969	TRANSFORMADOR DISTR MONOF 100,0KVA	11	15	DEPS	1	893219	ITB	1/2015
C1B27	1	C1	B	27	171929	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1272150	ROMANG	11/2020
C1C27	1	C1	C	27	135652	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	850038	ROMAGNOLE	1/2013
C1A28	1	C1	A	28	162961	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1132342	...	-
C1B28	1	C1	B	28	161460	397141	TRANSFORMADOR DISTR TRIF 15,0KVA 6/13KV	11	15	DEPS MONT	1	-	-	-
C1C28	1	C1	C	28	168152	397970	TRANSFORMADOR DISTR TRIF 15KVA	11	15	DEPS	1	1206751	ROMANG	11/2019
C1A29	1	C1	A	29	160682	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1096080	ITB	-
C1B29	1	C1	B	29	153813	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1	977212	ITB	2/2016
C1C29	1	C1	C	29	159324	397146	TRANSFORMADOR DISTR MONOF 25,0KVA ISOL	11	15	DEPS MONT	1	1089535	Romagnole	4/2017
C1C29	1	C1	C	29	162276	397147	TRANSFORMADOR DISTR MONOF 50,0KVA ISOL	11	15	DEPS	1	1124939	Romagnole	-
C1A30	1	C1	A	30	166641	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1047798331	weg	-
C1B30	1	C1	B	30	172409	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1276315	ROMANG	12/2020
C1C30	1	C1	C	30	170723	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1254856	ROMANG	7/2020
C1A31	1	C1	A	31	163898	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS MONT	1	1135091	ROMAGNOLE	-
C1B31	1	C1	B	31	162037	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1121874	Romagnole	2/2018
C1C31	1	C1	C	31	166004	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1174736	ROMAGNOLE	-
C1A32	1	C1	A	32	163911	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1	1135104	ROMAGNOLE	-
C1B32	1	C1	B	32	166305	397145	TRANSFORMADOR DISTR TRIF 112,5KVA 6/13KV	11	15	DEPS	1	1177021	ROMAGNOLE	-
C1C32	1	C1	C	32	165959	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS	1	1174714	ROMAGNOLE	-
C1A33	1	C1	A	33	160753	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1	1093254	Romagnole	-
C1B33	1	C1	B	33	139066	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	869091	ROMAGNOLE	9/2013
C1C33	1	C1	C	33	170727	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1254860	ROMANG	7/2020
C1A34	1	C1	A	34	164580	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS MONT	1	1044324001	weg	-
C1B34	1	C1	B	34	168637	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1217370	ROMANG	1/2020
C1C34	1	C1	C	34	169771	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1235440	ROMANG	6/2020
C1A35	1	C1	A	35	148410	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1	959555	ROMAGNOLE	11/2014
C1B35	1	C1	B	35	149698	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	966002	ROMAGNOLE	1/2015
C1C35	1	C1	C	35	168897	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	6	15	DEPS	1	1220375	ROMANG	1/2020
C1A36	1	C1	A	36	163900	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1	1135093	ROMAGNOLE	-
C1B36	1	C1	B	36	169694	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1	1229051	ROMANG	1/2020
C1C36	1	C1	C	36	170116	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1244897	ROMANG	7/2020
C1A37	1	C1	A	37	147342	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	945727	ROMAGNOLE	11/2014
C1B37	1	C1	B	37	148673	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	957252	ROMAGNOLE	12/2014
C1C37	1	C1	C	37	168890	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1220368	ROMANG	1/2020
C1A38	1	C1	A	38	162492	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	1125005	Romagnole	2/2018
C1B38	1	C1	B	38	140800	397969	TRANSFORMADOR DISTR MONOF 100,0KVA	11	15	DEPS	1	891853	ROMAGNOLE	8/2013
C1C38	1	C1	C	38	168849	397970	TRANSFORMADOR DISTR TRIF 15KVA	11	15	DEPS	1	1220352	ROMANG	1/2020
C1A39	1	C1	A	39	165217	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1	1046010442	weg	-
C1B39	1	C1	B	39	147410	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1	946777	ROMAGNOLE	10/2014
C1C39	1	C1	C	39	157036	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1034899	ROMAGNOLE	-
C1A40	1	C1	A	40	163607	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1136294	...	-
C1B40	1	C1	B	40	153821	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	977220	ITB	2/2016
C1C40	1	C1	C	40	171921	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1	1272142	ROMANG	11/2020
C1A41	1	C1	A	41	149749	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	966147	ROMAGNOLE	2/2015
C1B41	1	C1	B	41	161529	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS	1	161529	Romagnole	1/2018
C1C41	1	C1	C	41	171923	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1272144	ROMANG	11/2020
C1A42	1	C1	A	42	145386	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	898442	ITB	9/2014
C1B42	1	C1	B	42	139690	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	860566	ROMAGNOLE	6/2013
C1C42	1	C1	C	42	169890	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1	1235584	ROMANG	6/2020
C1A43	1	C1	A	43	163951	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS MONT	1	1132929	ITB	1/2018
C1B43	1	C1	B	43	166098	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1174853	ROMAGNOLE	-
C1C43	1	C1	C	43	156623	397971	TRANSFORMADOR DISTR TRIF 30,0KVA	11	15	DEPS	1	1029680	ROMAGNOLE	6/2016
C1A44	1	C1	A	44	165747	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS MONT	1	1160945	ROMAGNOLE	-
C1B44	1	C1	B	44	146741	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1	938912	ROMAGNOLE	7/2014
C1C44	1	C1	C	44	172401	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1	1276307	ROMANG	12/2020
C1A45	1	C1	A	45	169081	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1220508	ROMANG	1/2020
