Material,Texto breve material,Unid.medida básica,Val.utiliz.livre
10000328,CABO POT CU CL2 1X400MMý 20/35KV PT,M,275080.28
10000330,CABO ISOL 0.6/1 kV COBR 1x120MM² EPR,M,24885.68
10000333,CABO ISOL CU 8.7/15KV 3X1X240MM2 XLPE,M,125423.03
10000334,CABO POT COBR 1x400M²  12/20 kV EPR,M,389279.09
10000339,CABO MX AL XLPE 0.6/1KV 2X1X25MM2,M,1234.26
10000376,"ABRACADEIRA ""I"" ACO CARB 50X6.3MM",PEÇ,1055.65
10000397,CHAPA AÇO P/ FIXAÇÃO DE PINO CURTO,PEÇ,1146.27
10000399,CONECTOR TERM CU 240.00MM2 22.00MM,PEÇ,379.56
10000401,"CONECTOR SUPORTE AL 1.1/2 "" 127.00MM",PEÇ,0.07
10000424,MANILHA PRÉ-REUNIDO 15 kV,PEÇ,2222.92
10000432,CONECTOR PARAF FENDIDO BZ 2/0AWGX2/0AWG,PEÇ,310.38
10000433,CONEC PARAF  FEND BZ 4-6AWGx8-4AWG,PEÇ,614.53
10000434,CONEC PARAF FEND BZ 2AWGx8-2AWG,PEÇ,21477.39
10000436,CONECTOR CUNHA CN5,PEÇ,6.40
10000441,CONECTOR CUNHA CN1,PEÇ,922.29
10000442,CONECTOR CUNHA CN2,PEÇ,8688.97
10000447,CONECTOR CUNHA Al 3/0AWGX3/0AWG,PEÇ,2390.43
10000463,CONECTOR TERRA CU 120.00MM2X120.00MM2,PEÇ,652.93
10000466,CONECTOR CUNHA CN20,PEÇ,1039.53
10000468,CONECTOR TERRA CU 70 A 120MM2,PEÇ,296.86
10000470,CONECTOR SUPORTE AL 795.00MCM 76.20MM,PEÇ,1199.41
10000476,CONECTOR CUNHA RAMAL TIPO VII,PEÇ,1325.53
10000485,CONECTOR PERF 25~120X25~120MM²,PEÇ,9528.62
10000487,CONECTOR PERF 16~120X4~35MM²,PEÇ,24028.93
10000490,CONECTOR TERM AL 120.00MM2,PEÇ,324.82
10000491,CONECTOR TERM AL 70.00MM2,PEÇ,163.31
10000493,CONECTOR TERM AL 336.4MCM,PEÇ,7328.32
10000498,"CONECTOR TERM AL  2"" M30X2MM",PEÇ,4195.12
10000500,CONECTOR TERM AL 795MCM 4 FUROS,PEÇ,7727.11
10000501,"CONECTOR TERM  AL 2""  90 GRAUS",PEÇ,1901.04
10000505,"CONECTOR ACOPL AL 2 "" 120.00MM2",PEÇ,2304.78
10000507,"CONECTOR ACOPL AL 1.1/2 "" 1113.0MCM",PEÇ,326.08
10000510,CONECTOR SUPORTE AL 1033.5MCM 127.00MM,PEÇ,89.51
10000513,"CONECTOR SUPORTE AL 1.1/2""  127.00MM",PEÇ,1547.52
10000515,"CONECTOR TERRA CU 120.00MM2 3/4 """,PEÇ,45.83
10000517,"CONECTOR TERRA CU 120.00MM2 1.1/2 """,PEÇ,2333.70
10000518,CONECTOR DERIV AL 1113.0MCM 397.50MCM,PEÇ,1862.61
10000520,"CONECTOR DERIV AL 1.1/2 "" 397.50MCM",PEÇ,1078.64
10000521,"CONECTOR DERIV T  AL 1.1/2 "" 1113MCM",PEÇ,1668.66
10000523,CONECTOR DERIV CU 120.00MM2 120.00MM2,PEÇ,930.32
10000526,"CONECTOR TERMINAL 1.1/2 "" 4 FUROS",PEÇ,248.49
10000527,"CONECTOR TERM  AL  2"" M42X3MM",PEÇ,2701.04
10000530,CONECTOR DERIV AL 954.00MCM 954.00MCM,PEÇ,1641.54
10000531,CONECTOR DERIV AL 795.00MCM 795.00MCM,PEÇ,31.91
10000533,LUVA COMPRESSÃO 433MM P/ CABO 1/0 AL CAA,JG,1156.52
10000534,MANILHA SAPATILHA DISTRIBUIÇÃO,PEÇ,64130.13
10000539,CONECTOR DERIV AL 336.40MCM 3/0AWG,PEÇ,1480.90
10000552,CONECTOR DERIV  AL  636MCM 636MCM,PEÇ,30.74
10000553,CONECTOR DERIV AL 400/500-400/500MM2,PEÇ,257.21
10000582,MASSA PARA CALAFETAR - 1KG,KG,794.91
10000595,ELO FUSIVEL DISTRIBUICO K 140A,PEÇ,40.24
10000598,REATOR LÂMP VAPOR SÓDIO 150W EXT,PEÇ,8797.83
10000599,REATOR LÂMP VAPOR SÓDIO 250W EXT,PEÇ,1564.99
10000601,REATOR ELETROMAG LAMP VAP MERC 230V 125W,PEÇ,2925.68
10000602,REATOR ELETROMAG LAMP VAP MERC 230V 250W,PEÇ,1067.15
10000604,REATOR INTEGRADO LÂMP VAPOR SÓDIO 400W,PEÇ,2885.12
10000606,REATOR INTEGRADO LÂMP VAPOR SÓDIO 100W,PEÇ,7800.18
10000607,REATOR INTEGRADO LÂMP VAPOR SÓDIO 150W.,PEÇ,6804.35
10000608,REATOR INTEGRADO LÂMP VAPOR SÓDIO 250 W.,PEÇ,10850.99
10000609,CHAVE DE CALIBRAÇÃO COM TOMADA 600VA,PEÇ,8323.63
10000610,TRAFO POTL  INDU 13800/115V 15kV,PEÇ,618.55
10000611,TRAFO POTL INDU 8050/115V 15KV,PEÇ,37248.56
10000617,TRAFO COR 0.6KV INT 600-5A,PEÇ,2146.48
10000618,TRAFO COR 0.6KV INT 800-5A,PEÇ,1213.50
10000619,TRAFO COR 13.8KV 5/5A 0.3C25 INT,PEÇ,5342.14
10000620,TRAFO COR 13.8KV 10/5A 0.3C25 INT,PEÇ,13052.85
10000622,TRAFO COR 13.8KV 25/5A 0.3C25 INT,PEÇ,4263.73
10000623,TRAFO COR 13.8KV 50/5A 0.3C25 INT,PEÇ,2701.91
10000624,TRAFO COR 13.8KV INT 100-5A,PEÇ,525.04
10000626,TRAFO COR 13.8KV INT 300-5A,PEÇ,2353.07
10000627,TRAFO COR 13.8KV INT 400-5A,PEÇ,996.34
10000641,ABRACADEIRA UNHA RDS ES.DT.PDN.01.01.081,PEÇ,1070.75
10000688,PARAFUSO ESP SAE1020 MA M16X2MM 350MM,PEÇ,2175.74
10000689,PARAFUSO ESP SAE1020 MA M16X2MM 400MM,PEÇ,17311.80
10000690,PARAFUSO ESP SAE1020 MA M16X2MM 450MM,PEÇ,3907.34
10000691,PARAFUSO ESP SAE1020 MA M16X2MM 500MM,PEÇ,12421.71
10000692,PARAFUSO ESP SAE1020 MA M16X2MM 550MM,PEÇ,32418.94
10000693,PARAFUSO ESP SAE1020 MA M16X2MM 600MM,PEÇ,1982.56
10000702,"PARAFUSO SEXT ACO CARB BSW 1/4 ""X1.1/4 """,PEÇ,18.97
10000704,"PARAFUSO SEXT  AÇO CARB BSW 3/8 "" X1 """,PEÇ,91.20
10000707,"PARAF SXT AC1020 BSW 1/2""X1.1/2""",PEÇ,62.25
10000708,"PARAFUSO SEXT AÇO CARB BSW 1/2 ""X1.3/4 """,PEÇ,978.22
10000713,"PARAFUSO SEXT AÇO CARB BSW 1/2 ""X3.1/2 """,PEÇ,59.23
10000715,"PARAFUSO SEXT AÇO CARB BSW 1/2 ""X7.1/2 """,PEÇ,122.30
10000717,PARAFUSO ABAUL  AÇO CARB M16 X  45 mm,PEÇ,23289.46
10000718,PARAFUSO ABAUL  AÇO CARB M16 X  70 mm,PEÇ,11083.33
10000719,PARAFUSO ABAUL  AÇO CARB M16 X 150 mm,PEÇ,15431.61
10000723,PARAFUSO QUAD AÇO CARB M16 X 50 MM,PEÇ,16138.24
10000724,PARAFUSO QUAD AÇO CARB M16 X 125 MM,PEÇ,13824.02
10000725,PARAFUSO QUAD AÇO CARB M16 X 250 MM,PEÇ,5344.76
10000726,PARAFUSO QUAD AÇO CARB M16 X 300 MM,PEÇ,2719.13
10000727,PARAFUSO QUAD AÇO CARB M16 X 400 MM,PEÇ,4266.75
10000728,PARAFUSO QUAD AÇO CARB M16 X 500 MM,PEÇ,4086.14
10000729,PARAFUSO QUAD AÇO CARB M16 X 150 MM,PEÇ,319.97
10000731,"PARAFUSO SEXT A394 78 BSW 5/8 ""X1.1/2 """,PEÇ,99.17
10000733,"PARAFUSO SEXT  A394 78 BSW 5/8 "" X2 """,PEÇ,39.83
10000734,"PARAFUSO QUAD AÇO CARB BSW 5/8 ""X2.1/4 """,PEÇ,1334.42
10000746,PORCA - OLHAL ACO M16 X 2-7H,PEÇ,36896.35
10000747,PORCA QUADRADA M16 X 2 - 7H,KG,2777.01
10000827,CHAVE FUSIVEL DISTRIB 38KV 6.3KA 100A,PEÇ,756.85
10000874,CONECTOR CUNHA RAMAL TIPO VI,PEÇ,1634.60
10000879,LUVA EMENDA COMP CABO 336.4 MCM AL,PEÇ,2281.83
10000880,CONECTOR LUVA COMPRESSO COBRE 70MM,PEÇ,451.56
10000881,LUVA COMPRESSAO CU 120MM,PEÇ,391.91
10000882,CONECTOR LUVA COMPRESSO COBRE 240MM,PEÇ,2677.79
10000966,CHAVE SEC FACA ISOL PORC 38KV 630A,PEÇ,7384.47
10000976,CHAVE MAGNET ALUM 1NF 230V 40A,PEÇ,4385.50
10000977,CHAVE MAGNET ALUM 1NF 230V 80A,PEÇ,6030.90
10000987,"ARRUELA REDON. LISA AÇO CARB 3/8 ""X1/16""",KG,493.86
10001240,CHAVE SEC FACA ISOL PORC 15KV 630A,PEÇ,715.05
10001245,ISOLADOR PINO PORCELANA 34.5KV,PEÇ,1748.38
10001246,ISOLADOR PED PORC 15.0KV 203.2X254MM,PEÇ,6567.18
10001247,ISOLADOR CAST PORC MR 0.6KV 130X100X22MM,PEÇ,1242.60
10001248,ISOLADOR CAST PORC MR 0.6KV 90X85X20MM,PEÇ,32273.39
10001257,ISOLADOR DISCO VIDRO 255MM 120KN,PEÇ,12236.12
10001265,ISOLADOR ROLDANA PORCELANA,PEÇ,34979.86
10001266,PINO ISOLADOR ACO CARB 15.00KV 294.0MM,PEÇ,20026.72
10001267,PINO CURTO ISOLADOR 194mm,PEÇ,34139.88
10001268,PINO ISOLADOR ACO CARB 25.00KV 324.0MM,PEÇ,89.70
10001269,PINO ISOLADOR ACO CARB 34.50KV 344.0MM,PEÇ,1922.63
10001276,ALCA PREF DIST CA  336.4 AWG,PEÇ,7938.55
10001277,ALCA PREF DIST CA CAA 3/0AWG,PEÇ,413.24
10001280,"ALCA PREF DISTR 1/4"" 635MM AM",PEÇ,480.96
10001281,ALCA PREF SERVICO 10 MM,PEÇ,525.20
10001287,GRAMPO PARALELO PLT-F-084.  GP-6,PEÇ,19.06
10001288,GRAMPO PARALELO PLT-F-084.  GP-3,PEÇ,8.95
10001311,CONECTOR TERMINAL COBRE 1 FURO - 70MM,PEÇ,88.69
10001315,ESPACADOR HEL FORM CABO 26 X 7 636MCM LT,JG,964.84
10001316,ESPACADOR HEL FORM CABO 45 X 7 954MCM LT,JG,43083.59
10001318,CONECTOR TORÇÃO CU 4 MM2 P/ I.P.,PEÇ,43.96
10001319,CONECTOR TORÇÃO CU 2.5 MM2 P/ I.P.,PEÇ,497.07
10001322,CONECTOR TERMINAL COBRE 2 FUROS - 240MM2,PEÇ,6065.51
10001323,TACO FIBRA DE VIDRO - 3 FUROS/DIAM 25 mm,PEÇ,287.74
10001324,TACO FIBRA DE VIDRO - 1 FURO/DIAM 38 mm,PEÇ,1417.06
10001331,CONECTOR TERMINAL COBRE 1 FURO - 35MM,PEÇ,969.57
10001332,CONECTOR TERMINAL COBRE 1 FURO - 120MM,PEÇ,219.59
10001342,RELE FOTOELETRICO ILUM 220VCA 1000W 1NA,PEÇ,5109.11
10001381,PARA-RAIOS DISTB MET POLIM 10KA 27KV,PEÇ,910.69
10001383,SUPORTE P/ FIX  BF OU PR EM CRUZETA,PEÇ,28002.12
10001385,PORTA-FUSIVEL BASE TIPO C 100 A 2.0kA,PEÇ,3743.31
10001395,SUPORTE P/ INST CF NA HORIZONTAL,PEÇ,3083.13
10001415,ARMAÇÃO SECUND POSTE CONCRETO 1 ESTRIBO,PEÇ,33540.60
10001416,ARM SEC AC1020 2ESTR 310X375MM,PEÇ,34640.53
10001417,SELA PARA CRUZETA DE MADEIRA E CONCRETO,PEÇ,9643.22
10001418,SELA PARA CRUZETA DE AÇO,PEÇ,5535.90
10001419,SUPORTE ESCADA ACO-CAR,PEÇ,11390.62
10001422,CORDOALHA COBRE 304.80X 23.8X 6.35MM,PEÇ,59.27
10001424,GRAMPO SUSP ALUMINIO GRS/6 LT PLT-F-067,PEÇ,1006.64
10001425,GRAMPO SUSP ALUMINIO GRS/3 LT PLT-F-067,PEÇ,1981.69
10001426,GRAMPO SUSP ALUMINIO GRS/4 LT PLT-F-067,PEÇ,3357.35
10001427,GRAMPO SUSP ALUMINIO GRS/2 LT PLT-F-067,PEÇ,158.25
10001428,"PROTETOR P/ TIRANTE DE 1/4""",JG,1482.89
10001429,GARFO OLHAL P/ SUST PRÉ-REUNIDO 15kV,PEÇ,4164.18
10001430,GARFO DUPLO P/ SUST PRÉ-REUNIDO 15kV,PEÇ,7980.02
10001431,ARMAÇÃO SECUND POSTE MADEIRA 1 ESTRIBO,PEÇ,288.98
10001433,GRAMPO SUSP CABO PR-REUNIDO 120mm - MT,PEÇ,5255.10
10001434,ESFERA SIN POLIET LARANJ LT 600MM,PEÇ,11108.43
10001438,HASTE P/ ATERRAMENTO TIPO CANTONEIRA,PEÇ,32911.46
10001439,HASTE ATERRAMENTO TIPO CILINDRICA 1.50m,PEÇ,61865.24
10001443,MOLDURA LINHA TERRA MAD MEIA CANA,PEÇ,13146.44
10001444,GRAMPO SUSP CABO PRÉ-REUNIDO 70mm² - MT,PEÇ,11271.43
10001445,PROLONGADOR OLH-OLH FOFO RD 342.00MM,PEÇ,874.04
10001448,"GRAMPO ANCORAGEM ACO CARB 3/8""PARA-RAIOS",PEÇ,1360.18
10001451,"GRAMPO SUSP PLT-F-068 CABO P RAIOS 3/8""",PEÇ,0.00
10001454,BASE. TAMPA INT/EXT PARA CT.PI E MP,JG,1311.25
10001456,HASTE ATER AÇO CILIND 14.3x2400mm PADRÃO,PEÇ,8164.78
10001467,TERMINAL EXT. CABO ISOL. 8.7/15kV 240mm2,JG,17808.35
10001477,PROTETOR PARA CABO EM ENTRADA DE DUTO,PEÇ,2725.31
10001479,TERMINAL INT. CABO ISOL. 12/20kV 400mm2,JG,142.64
10001481,TERMINAL INT. CABO ISOL. 12/20kV 240mm2,JG,839.08
10001484,TERMINAL INT. CABO ISOL. 20/35kV 400mm2,JG,204.49
10001485,TERMINAL EXT. CABO ISOL. 8.7/15kV 35mm2,JG,563.73
10001491,TERMINAL INT. CABO ISOL. 8.7/15kV 240mm2,JG,2533.98
10001498,SUPORTE VERTICAL DE 07 FUROS,PEÇ,883.97
10001502,FITA RAYON SEM ADESIVO 50MM 3M,ROL,269.68
10001508,BRAÇO LUMIN BPN AC1010/20 35º 3519X48MM,PEÇ,45767.38
10001511,BRAÇO LUMINÁRIA BPM (médio),PEÇ,15070.54
10001532,BASE RELE FOTOELETRICO IP MP-16-21,PEÇ,1555.17
10001533,IGNITOR P/ LÂMP VAP SÓD 100/150/250/400W,PEÇ,2400.95
10001710,SUPORTE P/ INST EQUIP EM POSTE MADEIRA,PEÇ,7770.71
10001715,TACO POLIESTER TP3C45 CABO DIAM EXT 45MM,PEÇ,973.02
10001721,MÃO FRANCESA PLANA - TIPO 1,PEÇ,997.65
10001722,MÃO FRANCESA PLANA - TIPO 2,PEÇ,7987.78
10001723,MÃO FRANCESA PLANA - TIPO 3,PEÇ,1249.61
10001724,MO FRANCESA FERRO CHATO TIPO1,PEÇ,186.84
10001725,MÃO FRANCESA FERRO CANTONEIRA - TIPO 1,PEÇ,26726.29
10001726,MO FRANCESA FERRO CANTONEIRA - TIPO 2,PEÇ,62243.72
10001727,MO FRANCESA FERRO CANTONEIRA - TIPO 3,PEÇ,1596.05
10001728,AFASTADOR AÇO CARB 900MM 500MM,PEÇ,5701.16
10001729,SUPORTE INSTAL EQUIP TIPO I DIAM 195MM,PEÇ,6747.64
10001730,SUPORTE INSTAL EQUIP TIPO I DIAM 225MM,PEÇ,2224.43
10001731,SUPORTE INSTAL EQUIP TIPO I DIAM 255MM,PEÇ,11565.43
10001732,SUPORTE INSTAL EQUIP TIPO I DIAM 285MM,PEÇ,4298.89
10001733,SUPORTE INSTAL EQUIP TIPO II DIAM 225MM,PEÇ,13920.52
10001734,SUPORTE INSTAL EQUIP TIPO II DIAM 255MM,PEÇ,6357.00
10001735,SUPORTE INSTAL EQUIP TIPO II DIAM 285MM,PEÇ,634.58
10001736,SUPORTE INSTAL EQUIP TIPO III DIAM 225MM,PEÇ,5856.30
10001737,SUPORTE INSTAL EQUIP TIPO III DIAM 255MM,PEÇ,12623.42
10001738,SUPORTE INSTAL EQUIP TIPO III DIAM285MM,PEÇ,7847.13
10001739,SUPORTE INSTAL EQUIP TIPO IV DIAM 225MM,PEÇ,7562.54
10001740,SUPORTE INSTAL EQUIP TIPO IV DIAM 255MM,PEÇ,9259.27
10001741,SUPORTE INSTAL EQUIP TIPO IV DIAM 285MM,PEÇ,2844.91
10001742,CRUZETA MADEIRA ESPECIAL 90x90x3925mm,PEÇ,5590.97
10001743,CRUZETA MADEIRA 90x90x2000mm,PEÇ,44534.01
10001744,CRUZETA MADEIRA 90x90x2400mm,PEÇ,1994.82
10001750,CRUZETA ACO 2800 MM,PEÇ,18701.30
10001752,CRUZETA  AÇO 2000 mm,PEÇ,107433.38
10001753,CRUZETA  AÇO 2400 mm,PEÇ,33008.71
10001757,SUPORTE P/ INST BC EM ADAPTADOR,PEÇ,13160.36
10001760,ELO OLHAL PLT-F-080,PEÇ,3491.78
10001761,CRUZETA AÇO UNIV P/ CABO PRÉ-REUNIDO,PEÇ,11656.09
10001764,ARMADURA PREFORM AL CAA 795MCM(DRAKE),JG,974.10
10001765,ARMADURA PREFORM AL CAA 636MCM(GROSBEAK),JG,2432.84
10001767,ELO BOLA AÇO LT PLT-F-057,PEÇ,214.20
10001770,GRAMPO P/ ISOLADOR CASTANHA T-1,PEÇ,496.11
10001771,ARMADURA PREF CAA 134.6MCM 11V 1600MM,PEÇ,1124.32
10001772,GRAMPO ANCORAGEM COBRE 50.0-92.0MM2,PEÇ,1507.13
10001774,GRAMPO ANCORAGEM ALUMINIO 134.6MCM,PEÇ,2229.50
10001776,ARMADURA PREFORM AL CAA 954MCM(RAIL),PEÇ,36250.02
10001777,GRAMPO ANCORAGEM ACO CARB 1/0 - 4/0AWG,PEÇ,152.38
10001778,GRAMPO P/ ISOLADOR CASTANHA T-2,PEÇ,61193.83
10001792,LAÇO TOPO COND. AL. 1/0 AWG 750mm,PEÇ,2707.27
10001793,LAÇO TOPO COND. AL. 336.4 MCM 840mm,PEÇ,1316.64
10001794,ESTRIBO P/ REDE DISTRIBUIÇÃO,PEÇ,63882.29
10001795,GRAMPO ANCORAGEM ALUMINIO PLT 795.0MCM,JG,2680.57
10001799,LUVA COMPRESSAO AL 70MM²,PEÇ,8.05
10001800,LUVA COMPRESSAO AL 120MM² C,PEÇ,1776.03
10001803,GRAMPO ANCORAGEM ALUMINIO 336.4MCM,JG,11232.95
10001806,EMENDA CABO CAA 9JC 954MCM PLT-F-087,PEÇ,782.49
10001811,ELO OLHAL PLT-F-058,PEÇ,5266.15
10001813,CONCHA ELO ACO CARB LT DES.PLT-F-078,PEÇ,265.99
10001815,ELO BOLA-LT PLT-F-077,PEÇ,112.46
10001816,BALANCIM CB PRE-RE FOFO ES.PN.01.01.0022,PEÇ,4709.78
10001819,GRAMPO ANCORAGEM ALUMINIO 954.0MCM,JG,182645.06
10001820,SECCIONADOR PREFORMADO CERCA PLT-F-164,JG,1588.83
10001823,CONCHA ELO ACO CARB LT DES.PLT-F-060,PEÇ,1902.40
10001824,CONCHA ELO 90º  AÇO  LT.  DES. PLT-F-228,PEÇ,30417.32
10001825,BALANCIM LT P/MANUT LINHA-VIVA PLT-F-062,PEÇ,1589.62
10001827,"ADAPTADOR ""L""  PARA TERMINAL",PEÇ,5763.84
10001828,ESPAÇADOR P/ REDE SEC 1/0 À 336.4 AWG,PEÇ,6285.33
10001833,LAÇO ROLDANA PARA COND. AL. 4 AWG,PEÇ,106.87
10001834,LAÇO ROLDANA PARA COND. AL. 1/0 AWG,PEÇ,2132.42
10001835,LAÇO ROLDANA PARA COND. AL. 3/0 AWG,PEÇ,694.32
10001836,LAÇO ROLDANA PARA COND. AL. 336.4 MCM,PEÇ,1529.78
10001837,LAÇO LATERAL PARA COND. AL. CAA 4 AWG,PEÇ,65.16
10001839,LAÇO LATERAL COND AL. 336.4MCM 780MM,PEÇ,24.83
10001840,LAÇO LATERAL DUPLO P/ COND ALUM 1/0 AWG,PEÇ,765.08
10001842,LAÇO LATERAL DP P/ COND ALUM 336.4 MCM,PEÇ,943.54
10001844,LAÇO LATERAL DP COND. AL. 609MM 336.4MCM,PEÇ,279.47
10001847,TAMPA QUAD FERRO FUNDIDO P/CX PASSAGEM,PEÇ,2899.06
10001848,ADAPTADOR BANDEIRA  TIPO 1,PEÇ,12596.19
10001897,MEDIDOR ELETRN 280V TRIF BIDIREC 0.2%,PEÇ,11006.52
10001910,SAPATILHA ACO CARB REDE DIST,PEÇ,7136.72
10001925,TRAFO DIST SUBT 3F OLEO 500KVA 15KV 220V,PEÇ,171992.27
10001926,ABRACADEIRA PA 250MM PT 950X8.8MM,PEÇ,4721.99
10001968,CONECTOR PINO SEC APL(EXPANS)90GRAUS,PEÇ,3732.30
10001984,"ELETRODUTO AL. RIGIDO 2"" LIGA",PEÇ,10901.74
10001989,LUVA COMPRESSAO AL 70MM C,PEÇ,960.54
10002026,CABO ISOL CU 0.6/1KV HEPR 2X35MM2 BR-PR,M,20009.45
10002043,CABO CONTR CU 4X2.5MM2 ENC4 ISOLAC,M,6356.51
10002081,CONECTOR CUNHA RAMAL TIPO III-IV-V,PEÇ,34338.42
10002120,TRAFO DIST SUBT 3F OLEO 300KVA 15KV 220V,PEÇ,36705.98
10002123,TRAFO DIST SUBT 3F OLEO 1MVA 15KV 400V,PEÇ,12693.83
10002310,GRAMPO ANCORAGEM AL TIPO GRA/3,PEÇ,53257.52
10002374,SEPARADOR FASE POLIMÉRICO 13.8KV,PEÇ,14949.91
10002378,ANEL DE AMARRAÇÃO P/ ESPAÇ. E SEPARADOR,PEÇ,10850.39
10002386,TRAFO COR 13.8KV 600/5A 0.3C12.5 INT,PEÇ,15255.08
10002401,CABO POT COBR 1x240MM²  12/20 kV EPR,M,84213.66
10002410,BRACO TIPO L REDE COMPAC 15KV,PEÇ,26763.48
10002411,BRACO TIPO C 13.8KV,PEÇ,52087.63
10002421,BRAÇO ANTI-BALANÇO 13.8KV,PEÇ,3100.03
10002422,ESTRIBO PARA BRAÇO TIPO L,PEÇ,1713.80
10002423,ISOLADOR PINO POLIMÉR 13.8KV,PEÇ,39708.76
10002424,ALÇA PRE-FORMADA P/CABO MENSAGEIRO,PEÇ,2818.21
10002425,GRAMPO ANCORAGEM POLIM CABO 70 MM2,PEÇ,2577.93
10002427,ISOLADOR BASTO POLIMERICO 15kV,PEÇ,122945.66
10002430,SUPORTE HORIZONTAL 13.8KV,PEÇ,18438.71
10002433,BRACO TIPO L REDE COMPAC 36.2KV,PEÇ,4413.98
10002434,BRAÇO TIPO C 34.5KV,PEÇ,11247.45
10002436,ISOLADOR PINO POLIMER 34.5KV,PEÇ,6910.93
10002437,ESPAÇADOR LOSANGULAR POLIMÉRICO 34.5KV,PEÇ,9614.63
10002573,SEPARADOR FASE POLIMRICO 34.5KV,PEÇ,11212.70
10002575,ANEL AMARRAÇÃO ISOLADOR PINO,PEÇ,4719.83
10002576,SUPORTE TIPO Z,PEÇ,22067.66
10002577,SUPORTE AFASTADOR HORIZONTAL 13.8KV,PEÇ,67557.70
10002578,SUPORTE AFASTADOR HORIZONTAL 34.5KV,PEÇ,4125.23
10002580,BRAÇO ANTI-BALANÇO 34.5KV,PEÇ,4554.84
10002581,COBERTURA PROTETORA PARA TERM. DE EQPTO,PEÇ,13253.90
10002582,LAÇO PREFORMADO PARA MENSAGEIRO,PEÇ,4686.51
10002601,CARTUCHO METæLICO VERM CONECTOR CUNHA,PEÇ,451.31
10002641,CABO POT CU CL2 3X70MM2 8.7/15KV PT XLPE,M,20577.33
10002643,CABO ISOL 0.6/1 kV COBR 1x16MM² EPR,M,4981.54
10002646,CONECTOR TERMINAL COBRE 2 FUROS - 70MM,PEÇ,386.59
10002649,CONECTOR LUVA COMPRESSO COBRE 35MM,PEÇ,245.08
10002652,TERMINAL EXT. CABO ISOL. 8.7/15kV 70mm2,JG,5357.62
10002653,EMENDA RETA 8.7/15KV P/ CABO DE 70 mm2,JG,8293.71
10002654,EMENDA RETA 8.7/15KV P/ CABO DE 35 mm2,JG,10216.99
10002672,"GRAMPO U AÇO MOLE GALVANIZADO  3/8 """,PEÇ,4483.41
10002673,SUPORTE AÇO CABO PARA-RAIO (TUBO 2POL),PEÇ,335.69
10002674,"PARAFUSO SEX AÇO CARBONO BSW 3/8"" 3-1/2""",PEÇ,147.57
10002675,CABO ISOL.20/35KV CU EXTR 1X240MM2 EPR,M,26126.01
10002678,CONECTOR CUNHA CN19,PEÇ,3276.93
10002781,RELÉ FOTOELETRÔNICO P/ ILUMIN. PÚBLICA,PEÇ,1055.69
10002791,ADAPTADOR BANDEIRA TIPO 2,PEÇ,4382.92
10002792,ADAPTADOR BANDEIRA TIPO 3,PEÇ,5692.32
10002851,CONECTOR CUNHA CN3,PEÇ,8856.46
10002880,"CONECTOR TERM 3"" NEMA 2 FUROS 90°",PEÇ,337.91
