Material	Descrição do item	Código NCM	Preço R$
4959	CAIXA MEDIDOR POLIFASICO 407X273mm "LOGO CERJ- OBSOLETO"	8538.10.00	R$ 100,41
4954	CAIXA POLIMETRO DE CONC-MED P/12+1 MÓDULOS "OBSOLETO"	8537.10.19	R$ 1,00
4953	CAIXA POLIMETRO DE PROTEÇÃO GERAL MED 200A "OBSOLETO"	8537.10.19	R$ 1,00
5958	CALÇA ANTI-CHAMAS PADRÃO "3C" TAM. G	6203.42.00	R$ 120,00
9391	CALÇA ANTI-CHAMAS PADRÃO "3C" TAM. GG	6203.42.00	R$ 120,00
5956	CALÇA ANTI-CHAMAS PADRÃO "3C" TAM. M	6203.42.00	R$ 168,00
7458	CALÇA ANTI-CHAMAS PADRÃO "3C" TAM. P		R$ 142,35
9390	CALÇA ANTI-CHAMAS PADRÃO "3C" TAM. PP	6203.42.00	R$ 149,90
9392	CALÇA ANTI-CHAMAS PADRÃO "3C" TAM. XG	6203.42.00	R$ 149,90
9839	CALÇA ANTI-CHAMAS PADRÃO "3C" TAM. XXG	6203.42.00	R$ 0,00
5957	CAMISA ANTI-CHAMAS PADRÃO "3C" TAM. G	6205.20.00	R$ 233,00
9395	CAMISA ANTI-CHAMAS PADRÃO "3C" TAM. GG	6205.20.00	R$ 160,00
5955	CAMISA ANTI-CHAMAS PADRÃO "3C" TAM. M	6205.20.00	R$ 162,00
9394	CAMISA ANTI-CHAMAS PADRÃO "3C" TAM. P	6205.20.00	R$ 160,00
9393	CAMISA ANTI-CHAMAS PADRÃO "3C" TAM. PP	6205.20.00	R$ 156,90
9396	CAMISA ANTI-CHAMAS PADRÃO "3C" TAM. XG	6205.20.00	R$ 165,00
9838	CAMISA ANTI-CHAMAS PADRÃO "3C" TAM. XXG	6205.20.00	R$ 160,00
4005	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM GG	6205.20.00	R$ 0,00
4316	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM M	6205.20.00	R$ 0,00
4004	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM XG	6205.20.00	R$ 31,48
4366	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM.G	6205.20.00	R$ 35,97
4367	CAMISA BEGE C/BORDADO "3C" EM UNIOFFICE P/SUPERVISOR TAM.P	6205.20.00	R$ 36,40
7989	CAMISA MALHA AZUL MESCLA 100% ALG."3C" TAM.G	6105.10.00	R$ 26,90
8024	CAMISA MALHA AZUL MESCLA 100% ALG."3C" TAM.GG	6105.10.00	R$ 26,90
7996	CAMISA MALHA AZUL MESCLA 100% ALG."3C" TAM.M	6105.10.00	R$ 26,90
7997	CAMISA MALHA AZUL MESCLA 100% ALG."3C" TAM.P	6105.10.00	R$ 26,90
6400	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM. ESPECIAL	6205.20.00	R$ 0,00
4317	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM. XG	6105.10.00	R$ 17,91
3690	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM.G	6105.10.00	R$ 0,00
4322	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM.GG	6105.10.00	R$ 0,00
4321	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM.M	6105.10.00	R$ 0,00
4320	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM.P	6205.20.00	R$ 0,00
4968	CAPACETE SEGURANÇAII ABA FRONTAL38MM LOGO AMPLA "FORA PADRÃO AMPLA"	6506.10.00	R$ 32,35
4662	CHAVE CATRACA ISOLADA CABEÇA REVERSÍVEL, 9.5/8" PARA 1000V	8204.20.00	R$ 115,00
8043	CHAVE DE FENDA PONTA CRUZADA ISOLADA 1000V DE 3/8X6"	8205.40.00	R$ 19,94
3644	CHAVE FENDA C/ISOLAMENTO 1kV DE 1/4"X6"	8204.11.00	R$ 19,00
10002	CHAVE FENDA C/ISOLAMENTO 1kV DE 1/8 X4	8204.11.00	R$ 0,00
3643	CHAVE FENDA C/ISOLAMENTO 1kV DE 1/8"X4"	8205.40.00	R$ 8,30
3640	CHAVE FENDA C/ISOLAMENTO 1kV DE 1/8"X6"	8204.11.00	R$ 15,80
3645	CHAVE FENDA C/ISOLAMENTO 1kV DE 3/16"X4"	8204.11.00	R$ 12,80
3641	CHAVE FENDA C/ISOLAMENTO 1KV DE 5/16"X6  8X150MM	8205.40.00	R$ 23,00
3649	CHAVE FENDA S/ISOL TAM 3/16X4" 100X5MM	8205.40.00	R$ 4,55
3954	CHAVE GRIFO TAM.12 ISOLADA 1000V	8205.40.00	R$ 36,70
4933	CHAVE GRIFO TAM.14"	8205.40.00	R$ 29,70
3654	CHAVE INGLESA C/ISOLAMENTO TAM 10"	8204.12.00	R$ 60,00
4998	CHAVE INGLESA S/ISOLAMENTO TAM 10"	8204.12.00	R$ 8,48
4999	CHAVE INGLESA S/ISOLAMENTO TAM 8"	8204.12.00	R$ 0,00
4270	CHAVE PHILLIPS C/HASTE ISOLADA 1KV 5/16"X10"	8205.40.00	R$ 10,20
3651	CHAVE PHILLIPS C/HASTE ISOLAMENTO 1KV 3/16" X6"	8204.11.00	R$ 14,80
3655	CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/4"X6"	8204.11.00	R$ 15,00
4359	CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/8"X5"	8205.40.00	R$ 0,00
4271	CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/8"X6"	8204.11.00	R$ 16,80
10003	CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/8X3"	8204.11.00	R$ 7,50
3656	CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 5/16"X6"	8205.40.00	R$ 27,80
3657	CHAVE PHILLIPS COTOCO S/ISOLAMENTO 1/8"X1.1/2"	8205.40.00	R$ 4,55
3658	CHAVE PHILLIPS COTOCO S/ISOLAMENTO 3/16"X1.1/2"	8205.40.00	R$ 10,60
8042	CHAVE PHILLIPS ISOLADA 1000V DE 1/16X6"	8205.40.00	R$ 0,00
3660	CHAVE TIPO CANHÃO 8 MM (5/16")	8204.11.00	R$ 36,56
3955	CHUMBADOR CBA  C/ PARAF. 1/4X2"	8205.59.00	R$ 1,00
3956	CHUMBADOR CBA  C/ PARAF. 5/16X2.1/4"	8205.59.00	R$ 1,50
4843	COLHER PEDREIRO TAM.6"	8205.59.00	R$ 6,14
3599	CONE DE SINALIZAÇÃO C/FURO P/FITA DE 75CM BR/LARANJA - "PADRÃO ENEL"	3926.90.90	R$ 125,00
4913	CONECTOR A COMP ESTRIBO CA 2 AWG "OBSOLETO"	8535.90.00	R$ 2,21
4910	CONECTOR CUNHA DERIVADO A/VIOLETA DED 1786 I1 "OBSOLETO"	8535.90.00	R$ 25,00
4911	CONECTOR CUNHA DERIVADO B/LARANJA DED 1786 I2 "OBSOLETO"	8535.90.00	R$ 25,00
4912	CONECTOR CUNHA DERIVADO C/MARRON  DED 1786 I3 "OBSOLETO"	8535.90.00	R$ 25,00
4915	CONECTOR PARAFUSO FENDIDO ALUMINIO 35MM "OBSOLETO"	8535.30.29	R$ 6,00
4909	CONECTOR PARAFUSO FENDIDO LIGA METAL P/CABO 2.5 DE 16M -"OBSOLETO"	8535.90.00	R$ 5,00
4849	DISCO CORTE P/FERRO 7" X 1/8" X 7/8"	6804.22.19	R$ 7,24
4842	DISCO DE CORTE DE 12"  NORTON	6804.22.19	R$ 7,24
4844	DISCO DE CORTE P/CORTE DE 14" X 1/8" X 1"	6804.22.19	R$ 7,24
4836	DISCO SERRA VÍDEA 4.3/8" 110MM - MADEIRA	6804.22.19	R$ 11,38
4830	DOBRADIÇA EM FERRO TAMANHO 1" X 3  7/8"	8302.10.00	R$ 15,90
4865	ESTROPO CABO AÇO FLEX 5/8" C/ 1.20 ALÇA	7312.10.10	R$ 72,00
3838	ETIQUETA ADESIVA "AVISO DE PERIGO DE MORTE"  160MMX220MM	3506.91.90	R$ 6,33
4862	ETIQUETA ADESIVA "BOPP BRANCA" 15x15MM	4811.41.90	R$ 9,60
4762	ETIQUETA ADESIVA "BOPP BRANCA" 55x15MM - ROLO C/2000 ETIQUETAS	4821.10.00	R$ 37,11
4551	ETIQUETA ADESIVA "BOPP PEROLADO" 103x126MM - ROLO 83 METROS	4811.41.90	R$ 66,40
4957	ETIQUETA ADESIVA "PERIGO DE ALTA TENSÃO"  18X60CM	4821.10.00	R$ 2,67
5539	ETIQUETA TRANS "3C SERVICES" 1723001	4908.90.00	R$ 1.709,50
4834	FACÃO P/MATO TAMANHO 20"	8201.40.00	R$ 19,00
4544	FORMULÁRIO "CONTROLE DE SERVIÇOS HH" C/30 FLS (30X3) TAM.155X215MM	4820.90.00	R$ 0,00
3661	FURADEIRA DE IMPACTO DE 1/2" 110V-600W  REVERSIVEL.	8467.21.00	R$ 345,00
3662	FURADEIRA ELÉTRICA IMPACTO 1/2" MODELO.GSB13 220V	8467.21.00	R$ 420,00
3667	GPS-ION "SINCRONIZADOR HORÁRIO DE MEDIDORES"	8543.70.33	R$ 0,00
4831	JOELHO ROSCA PVC 90 X 1/2"	7307.92.00	R$ 0,70
3949	JOGO DE CHAVES DE BOCA, DE 1/4" A 1.5/8" - COM 11 PEÇAS	8205.40.00	R$ 419,00
4766	JOGO DE SOQUETES DE 1/2" C/ 18 PEÇAS	8204.11.00	R$ 0,00
4793	LUVA DE EMENDA P/ ELETRODUTO  PVC DE 4" 100MM	3917.40.90	R$ 15,23
7115	MEDIDOR ELETRÔNICO;LEIT.CENTR;15A;RS485	9028.30.90	R$ 492,86
7337	MONITOR 19,5" LED LG	8528.72.00	R$ 798,00
7338	MONITOR 21,5" LED LG	8528.72.00	R$ 0,00
4927	NIPLE PVC ROSCA 1/2"	3917.40.10	R$ 1,50
4218	PARAFUSO CABEÇA SEXTAVADA 3/8"X2" COM PORCA, ARRUELA LISA E DE PRESSÃO (KIT)	7318.16.00	R$ 1,17
3862	PARAFUSO CABEÇA SEXTAVADA 3/8"x2"	7318.16.00	R$ 0,50
5014	PARAFUSO FENDA  1/4"  X  2"	7318.16.00	R$ 0,23
5015	PARAFUSO FENDA  1/4"- 20 X 3/8"	7318.16.00	R$ 0,03
5013	PARAFUSO FENDA  1/4" X  1.1/2"	7318.16.00	R$ 0,16
5016	PARAFUSO FENDA  5" X 16" INOX	7318.16.00	R$ 0,02
3869	PARAFUSO FENDA 1/4" X 1/2"	7318.16.00	R$ 5,75
3867	PARAFUSO FENDA 1/4" X 5/8"	7318.16.00	R$ 0,12
4376	PARAFUSO FENDA 1/4"X20 X1.1/4"	7318.16.00	R$ 0,12
7065	PLACA DE SINALIZAÇÃO 20 X 30CM "PROIBIDO FUMAR"	8310.00.00	R$ 0,00
5181	PLACA DE SINALIZAÇÃO EM PVC 2MM- "NÃO OPERE" - 33X25CM	8310.00.00	R$ 21,30
3678	PONTEIRO DE AÇO DE 12"	8205.59.00	R$ 5,40
3895	PORCA DE 1/4"	7318.16.00	R$ 4,00
4963	PORCA DE 3/16" X 5/16"	7318.16.00	R$ 2,00
3899	PORCA SEXTAVADA FERRO ZINCADO DE 3/16"	7318.16.00	R$ 0,10
4930	PORCA SEXTAVADA FERRO ZINCADO DE 5/8"	7318.16.00	R$ 4,47
3800	PRENDEDOR P/ PAPEL TIPO GRAMPO 32MM (11/4")	8305.90.00	R$ 0,43
4521	PRENSA-CABO - BSP 3/4" LP+P/UV-LT-PA-40DAN	3917.40.90	R$ 1,43
4333	PRENSA-CABO 1 1/2"	3917.40.90	R$ 30,10
3778	PRENSA-CABO 1"	3917.40.90	R$ 3,99
4520	PRENSA-CABO COMPLETO-BSP 1/2" LP+P/UV-LT-PA-40DAN	3917.40.90	R$ 3,54
4760	PRENSA-CABO ROSQ. 1/2" P/ CX. BIF 21MM "VERSÃO ANTIGA"	3917.40.90	R$ 0,80
4759	PRENSA-CABO ROSQ.P/CX. BI/TRI 13/18MM "VERSÃO ANTIGA"	3917.40.90	R$ 1,43
4331	PRENSA-CABO ROSQUEADO DE 1.1/4" LP+P3X10-UV-LT-PA-40dan	3917.40.90	R$ 0,00
4757	PRENSA-CABO ROSQUEADO P/CABO 6-12MM REF.PM-1749 I1 "VERSÃO ANTIGA"	3917.40.90	R$ 2,07
4370	SERRA COPO 25MM H0100 1"	8202.99.90	R$ 25,60
3680	SERRA TIPO COPO TAM 1.1/2" 38MM	8202.99.90	R$ 28,00
3681	SERRA TIPO COPO TAM 13/16" 21 MM	8202.99.90	R$ 50,44
4965	SERRA TIPO COPO TAM 13/8" 35MM MOD.HSS	8202.99.90	R$ 18,05
6659	SERROTE FIXO DE PODA 12"	8202.10.00	R$ 98,73
3682	SOQUETE SEXTAVADO DE 13MM, C/ ENCAIXE DE 1/2"	8204.20.00	R$ 15,00
7395	TALABARTE DUPLO "Y" COM ABSORVEDOR DE ENERGIA	4203.30.00	R$ 220,00
5001	TALHADEIRA DE AÇO DE 16"	8205.59.00	R$ 45,00
5000	TALHADEIRA DE AÇO DE 19MMX300MM - 12"	8205.59.00	R$ 9,74
4829	TAMPA P/CONDULETE D2 1" C/ 2 FUROS	39.25.90.90	R$ 2,60
5113	TESOURA CORTA VERGALHÃO 24" ISOLADA	8203.40.00	R$ 240,00
4871	TRADO P/MADEIRA DE 3/4"	8207.50.11	R$ 63,37
4220	TUBO DE PVC 1" (SEAL TUBO) PRETO	3917.29.00	R$ 4,85
4860	VERRUMA DE AÇO DE 3/16" - 4.7MM	8207.50.19	R$ 8,00
8385	*conjunto	7204.30.00	R$ 0,00
10493	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10494	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10495	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10496	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10498	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10499	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10500	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10501	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10502	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10503	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10489	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA O COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10490	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA O COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10491	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA O COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10492	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA O COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10485	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA O COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 14,98
10518	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA O COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10519	125 CM PVC/A-ST1 04 CL5 E FR PT CABO PARA O COMANDO E CONTROLE 4 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10473	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10474	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10475	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10476	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10477	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10478	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10479	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10480	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10481	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10482	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10483	125 CM PVC/A-ST1 12 CL5 E FR PT CABO PARA O COMANDO E CONTROLE 12 X 1 X 2.5 MM2	8544.49.00	R$ 35,07
10614	125 CM PVC/A-STI 04 CL5 E FR PT CABO PARA COMANDO E CONTROLE, 12 X 1 X 2.5 MM2, TENSAO: 1000V,CONDUT	8544.49.00	R$ 0,00
10615	125 CM PVC/A-STI 06 CL5 E FR PT CABO PARA COMANDO E CONTROLE, 6 X 1 X 2.5 MM2, TENSAO:1000V,CONDUTOR	8544.49.00	R$ 0,00
10613	125 CM PVC/A-STI 12 CL5 E FR PT CABO PARA COMANDO E CONTROLE, 12 X 1 X 4 MM2, TENSAO: 1000V,CONDUTOR	8544.49.00	R$ 0,00
10460	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10461	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10462	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10463	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10464	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10465	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10466	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10467	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10468	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10469	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10470	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10471	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10472	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2 X 1 X 4 MM2	8544.49.00	R$ 13,54
10459	140 CM PVC/A-ST1 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE 2X 1 X 4MM2	8544.49.00	R$ 13,54
10612	140 CM PVC/A-STI 02 CL5 E FR PT CABO PARA COMANDO E CONTROLE, 2 X 1 X 4 MM2, TENSAO: 1000, CONDUTOR	8544.49.00	R$ 0,00
10569	16 CE HEPR/ST2 01 CL5 FR PT Cabo de Pot, 1 x 1 x 16	8544.49.00	R$ 13,92
10345	27 MULTIMETRO	9030.32.00	R$ 0,00
10352	27 MULTIMETRO	9030.32.00	R$ 0,00
10344	27 MULTIMETRO SN 5205013	9030.32.00	R$ 0,00
10346	27Y MULTIMETER DIGITAL	9030.32.00	R$ 0,00
10347	3468A MULTIMETER                         H P	9030.32.00	R$ 0,00
10340	3468A MULTIMETER                         H P	9030.32.00	R$ 0,00
10343	3468A MULTIMETER                         H P	9030.32.00	R$ 0,00
10341	3468A MULTIMETER HP SN	9030.32.00	R$ 0,00
10348	464-2 DIGITAL MULTIMETER	9030.32.00	R$ 0,00
9434	8650-FT21BOP-ALV-60-ETH 8650 POWER ME;	9030.39.90	R$ 0,00
5555	8845A/C 220V MULTIMETRO DIGITAL DE PRECISAO DE 6. 1/2	9030.31.00	R$ 7.062,83
9221	8845A/C 220V MULTIMETRO DIGITAL DE PRECISÃO DE 6. 1/2	9030.31.00	R$ 3.951,43
8199	A ÚLTIMA CARTA DO TENENTE - 4ª EDIÇÃO	4901.99.00	R$ 2,00
8875	ABAFADOR MSA CONCHA XLS P/CAPACETE CA27971	3926.90.90	R$ 173,35
8920	ABNT NBR 16092:2019 - CESTAS AÉREAS ESPECIFICAÇÕES E ENSAIOS	4901.10.00	R$ 205,00
8921	ABNT NBR 8221:2019 - CAPACETE DE SEGURANÇA P/ USO OCUPACIONAL	4901.10.00	R$ 165,90
10528	ABRAC PA NT 2,5 X 100MM INSULOK T18R REFER: T18R	3926.90.90	R$ 0,04
11125	ABRAC PA NT 2,5X100MM INSULOK T18R	3926.90.90	R$ 0,00
11138	ABRAC PA NT 3,5X290MM T30LL	3926.90.90	R$ 0,00
10529	ABRAC PA NT 4,6 X 200MM 50MM INSULOK T50R	3926.90.90	R$ 0,11
11126	ABRAC PA NT 4,6X200MM 50MM INSULOK T50R	3926.90.90	R$ 0,00
10540	ABRAC PA NT 4,7X300MM 85MM INSULOK T80I	3926.90.90	R$ 0,22
9171	ABRAÇADEIRA	3926.90.90	R$ 0,00
9290	ABRACADEIRA "D" 1.1/2" C/CUNHA	7326.90.90	R$ 0,00
9206	ABRAÇADEIRA 10-13	7326.90.90	R$ 2,00
8352	ABRAÇADEIRA AJUSTÁVEL PARA POSTE BAP	7326.19.00	R$ 0,00
8855	ABRAÇADEIRA COPO 1" C-1	7326.90.90	R$ 0,76
8854	ABRAÇADEIRA COPO 3/4" C-3/4	7326.90.90	R$ 0,73
8655	ABRAÇADEIRA DE AÇO (U) 3/4	7326.90.90	R$ 0,86
8652	ABRAÇADEIRA DE NYLON - 2.80 X 3.5	3926.90.90	R$ 0,30
8651	ABRAÇADEIRA DE NYLON 3.8 x 7.6	3926.90.90	R$ 0,52
9904	ABRAÇADEIRA DE NYLON 140x2,5MM PCT C/ 100 UNIDADES	3926.90.90	R$ 12,00
9903	ABRAÇADEIRA DE NYLON 190x4,8MM PCT C/ 100 UNIDADES	3926.90.90	R$ 16,00
10521	ABRACADEIRA DE VELCRO PRETO 3M	5806.32.00	R$ 9,60
10589	ABRACADEIRA DE VELCRO PRETO 3M	5806.32.00	R$ 8,17
11186	ABRACADEIRA DE VELCRO PRETO 3M	5806.32.00	R$ 0,00
8137	ABRAÇADEIRA FITA NYLON 200 x 4,8MM INCOLOR	3926.90.90	R$ 0,15
8497	ABRACADEIRA FITA NYLON 280 X 4,8MM PRETA	3926.90.90	R$ 0,25
8134	ABRAÇADEIRA FITA NYLON 380 X 7,8 MM PRETA	3926.90.90	R$ 0,50
8131	ABRAÇADEIRA FITA NYLON 760 x 9,0MM PRETA	3926.90.90	R$ 2,40
9122	ABRACADEIRA FIXA TUBO EQUIPADO O 48	7308.40.00	R$ 28,50
9123	ABRACADEIRA GIRATORIA P TUBO EQUIP	7308.40.00	R$ 30,80
3921	ABRAÇADEIRA NYLON 200X4,8MM BRANCA	3926.90.90	R$ 0,00
3720	ABRAÇADEIRA NYLON 203MM² PRETA DDT-1750 I.3	3926.90.90	R$ 0,46
9597	ABRAÇADEIRA NYLON 300 X 4.8	3926.90.90	R$ 0,75
10565	ABRAÇADEIRA NYLON 370 X 7,6	3926.90.90	R$ 1,04
3721	ABRAÇADEIRA NYLON 390MM² DDT-1750 I4	3926.90.90	R$ 16,97
4241	ABRAÇADEIRA NYLON 39X4,7MM	3926.90.90	R$ 0,00
9598	ABRAÇADEIRA NYLON 400 X 4.8	3926.90.90	R$ 0,59
10564	ABRAÇADEIRA NYLON 500 X 4,8	3926.90.90	R$ 0,47
11257	ABRAÇADEIRA NYLON 760mm PRETA	3926.90.90	R$ 0,00
