MATERIAL	DESCRIÇÃO	UNID	TIPO DE MATERIAL	TEM CA?
3730	MEDIDOR ELETRÔNICO TRIFASICO MTSE01C 120V	UND  	COMERCIALIZAÇÃO	-
3734	ARRUELA DE PRESSÃO P/ PARAFUSO M5	UND  	FABRICAÇÃO	-
3737	MEDIDOR ELETRÔNICO MONOFASICO MEP03 240V	UND  	FABRICAÇÃO	-
3738	MEDIDOR ELETRÔNICO MONOFASICO MEP01D-CE1 120V	UND  	OUTROS	-
3740	"ARRUELA LISA 1/4"" DE BORRACHA PARA VEDAÇÃO"	UND  	OUTROS	-
3744	BARRA SUPERIOR DE FIXAÇAO DOS MODULOS DE METAL 484mmx50mm	UND  	FABRICAÇÃO	-
3745	ETIQUETA ADESIVA IDENTIFICADORA N°0, PM-1862I1R3  - 6X9cm	UND  	FABRICAÇÃO	-
3746	ETIQUETA ADESIVA IDENTIFICADORA N°1, PM-1862I2R3  - 6X9cm	UND  	FABRICAÇÃO	-
3747	ETIQUETA ADESIVA IDENTIFICADORA N°2, PM-1862I3R3  - 6x9cm	UND  	FABRICAÇÃO	-
3748	ETIQUETA ADESIVA IDENTIFICADORA N°3, PM-1862I4R3  - 6x9cm	UND  	FABRICAÇÃO	-
3749	ETIQUETA ADESIVA IDENTIFICADORA N°4, PM-1862I5R3  - 6x9cm	UND  	FABRICAÇÃO	-
3750	MEDIDOR ELETRÔNICO MONOFASICO MEP01D-CE2 240V	UND  	OUTROS	-
3751	ETIQUETA ADESIVA IDENTIFICADORA N°5, PM-1862I6R3  - 6X9cm	UND  	FABRICAÇÃO	-
3752	ETIQUETA ADESIVA IDENTIFICADORA N°6, PM-1862I7R3  - 6X9cm	UND  	FABRICAÇÃO	-
3753	ETIQUETA ADESIVA IDENTIFICADORA N°7, PM-1862I8R3  - 6X9cm	UND  	FABRICAÇÃO	-
3754	ETIQUETA ADESIVA IDENTIFICADORA N°8,PM-1862I9R3   - 6X9cm	UND  	FABRICAÇÃO	-
3756	ETIQUETA ADESIVA IDENTIFICADORA N°9,PM-1862I10R3 - 6X9cm	UND  	FABRICAÇÃO	-
3757	MEDIDOR ELETRÔNICO MONOFASICO MEP01-CE2 240V	UND  	OUTROS	-
3758	PARA-RAIOS DISTRIBUIÇÃO 30kV-10kA C/SUPORTE L	PC   	COMERCIALIZAÇÃO	-
3759	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA C/SUPORTE L	PC   	COMERCIALIZAÇÃO	-
3760	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA S/ SUPORTE L – HENGDA	PC   	COMERCIALIZAÇÃO	-
3761	SUPORTE L PADRÃO NEMA P/PARA-RAIOS	PC   	COMERCIALIZAÇÃO	-
3762	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO RF 120 V-60 VERSÃO-0 OBSOLETA	UND  	FABRICAÇÃO	-
3763	FITA ISOLANTE  MODELO 35+AMARELA 19MMX20M	UND  	FABRICAÇÃO	-
3764	FITA ISOLANTE  MODELO 35+BRANCA 19MMX20M	UND  	FABRICAÇÃO	-
3765	FITA ISOLANTE  MODELO 35+VERDE 19MMX20M	UND  	FABRICAÇÃO	-
3766	BORRACHA DE APAGAR	UND  	ESCRITÓRIO	-
3767	FITA ISOLANTE  MODELO 35+VERMELHA 19MMX20M	UND  	FABRICAÇÃO	-
3768	APONTADOR PARA LÁPIS	UND  	ESCRITÓRIO	-
3770	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO DE MEDIDA 485 120V-60 VERSÃO 01 (Obsoleta)	UND  	FABRICAÇÃO	-
3772	BARRAMENTO DE NEUTRO 484MM X 9,5 X 9,5MM	UND  	FABRICAÇÃO	-
3773	BARRAMENTO DE FASE C/ ISOLAMENTO	UND  	FABRICAÇÃO	-
3774	BATOQUE 1/4 x M5	UND  	FABRICAÇÃO	-
3775	BORNE SINDAL 25 MM² 	PC   	FABRICAÇÃO	-
3776	BORNE SINDAL 6 MM²	UND  	FABRICAÇÃO	-
3778	"PRENSA-CABO 1"""	UND  	FABRICAÇÃO	-
3779	BUCHA PLÁSTICA S-8	UND  	FABRICAÇÃO	-
3780	KIT CABO 485 12+2  (12 CONECTORES PARA O MÓDULO DE MEDIDA E + 02 CONECTORES P/ O MÓDULO DE CONTROLE)	UND  	FABRICAÇÃO	-
3781	CONDUTOR CONCENTRICO ALUMINO BIPOLAR 10MM²	UND  	OUTROS	-
3784	CANETA MARCA TEXTO AMARELO	UND  	ESCRITÓRIO	-
3785	CANETA PARA RETROPOJETOR CD 0,5/2MM COR PRETO	UND  	ESCRITÓRIO	-
3787	CABO FLEXÍVEL PP 3 VIAS P/ACOPLAMENTO (CABO CONTROLE)	UND  	FABRICAÇÃO	-
3788	CANETA PARA QUADRO BRANCO COR VERMELHO	UND  	ESCRITÓRIO	-
3789	CANETA PARA QUADRO BRANCO COR AZUL	UND  	ESCRITÓRIO	-
3790	CABO PRÉ-REUNIDO 0,6/1KV CU 3X16+16 -DED1797 I4	UND  	FABRICAÇÃO	-
3791	ETIQUETA ADESIVA LOGO ENEL P/TAMPA DA CAIXA CONCENTRADOR 8,5X11CM	UND  	FABRICAÇÃO	-
3792	CAIXA DAE -(CAIXA DE DERIVAÇÃO PADRÃO EM POLICARBONATO)	UND  	FABRICAÇÃO	-
3793	CANETA ESFEROGRÁFICA COR PRETA PONTA MÉDIA 1MM	UND  	ESCRITÓRIO	-
3794	CANETA ESFEROGRÁFICA COR AZUL PONTA MÉDIA 1MM	UND  	ESCRITÓRIO	-
3795	CAIXA DO ACOPLADOR PRETA C/TAMPA 06CM X 3,3CM	UND  	FABRICAÇÃO	-
3796	CANETA ESFEROGRAFICA COR VERMELHA PONTA MÉDIA 1MM	UND  	ESCRITÓRIO	-
3797	CAIXA MEDIDOR MONOFASICO EM POLICARBONATO, PM-1946 R4 E	UND  	OUTROS	-
3798	CD-R GRAVÁVEL 80MIN/700MB SEM CAPA	UND  	ESCRITÓRIO	-
3800	"PRENDEDOR P/ PAPEL TIPO GRAMPO 32MM (11/4"")"	UND  	ESCRITÓRIO	-
3801	CAIXA P/CONCENTRADOR MOD.ENEL VS.ATUAL C/12 FUROS, 02 ENTRADAS LATERAL	UND  	FABRICAÇÃO	-
3802	TRENA 3MT 10' C/TRAVA	UND  	ESCRITÓRIO	-
3804	CORRETIVO LIQUÍDO BASE' ÁGUA 18ML	UND  	ESCRITÓRIO	-
3805	LAPISEIRA TÉCNICA 0,7MM	UND  	ESCRITÓRIO	-
3806	ESTILETE LARGO	UND  	ESCRITÓRIO	-
3808	CLIPS Nº 2/0  CAIXA C/100 UNIDADES	CX   	ESCRITÓRIO	-
3810	CLIPS Nº 4/0  CAIXA COM 50 UNIDADES	CX   	ESCRITÓRIO	-
3811	CAIXA PLASTICA (COELCE)	UND  	FABRICAÇÃO	-
3812	COLA BRANCA 40 GRAMAS	UND  	ESCRITÓRIO	-
3813	CAPA P/TERMINAL FEMEA TAM.7X5MM (CONEXÃO SWITCH)	UND  	FABRICAÇÃO	-
3814	CAPACITOR 2,2uf X 400V	UND  	FABRICAÇÃO	-
3815	DVD-GRAVÁVEL 4.7GB S/ CAPA	UND  	ESCRITÓRIO	-
3816	COLETOR DE DADOS  CCE16V3.0.27 - PSTN-/P  THINP 650 3x127/208V 60Hz	UND  	FABRICAÇÃO	-
3817	COLETOR DE DADOS MODELO JDG02 VERSÃO 02 NOVA 3x120/208V 60Hz	UND  	FABRICAÇÃO	-
3818	LÁPIS PRETO Nº02	UND  	ESCRITÓRIO	-
3819	RÉGUA PLÁSTICA TRANSPARENTE  30CM	UND  	ESCRITÓRIO	-
3828	CONECTOR PERFURANTE 25-95MM²	UND  	OUTROS	-
3830	CONECTOR TERMINAL OLHAL 16MM²	UND  	FABRICAÇÃO	-
3831	CONECTOR TERMINAL OLHAL ISOLADO 2,5MM,PM2219 I1	UND  	FABRICAÇÃO	-
3837	EMENDA REUTILIZAVEL DOS CONDUTORES SIMPLES	UND  	FABRICAÇÃO	-
3838	"ETIQUETA ADESIVA ""AVISO DE PERIGO DE MORTE""  160MMX220MM"	UND  	FABRICAÇÃO	-
3839	ETIQUETA ADESIVA LOGO CAM TAMANHO 15 X 4,3CM (VERSÃO OBSOLETA)	PC   	FABRICAÇÃO	-
3841	TINTA PARA CARIMBO AZUL - 40ML	UND  	ESCRITÓRIO	-
3843	FITA DUPLA FACE 19MMX20M	UND  	FABRICAÇÃO	-
3844	BLOCO DE RECADO AUTO ADESIVO 76MMX102MM	UND  	ESCRITÓRIO	-
3845	FITA ISOLANTE PVC 0.18 X 19MM X 20M NBR60454-3-1- PRETA	UND  	FABRICAÇÃO	-
3846	FITA ISOLANTE ELÉTRICA AT-0,76MM-19MM X 10M (AUTO FUSÃO)	UND  	OUTROS	-
3847	KIT BORNEIRA	UND  	FABRICAÇÃO	-
3850	CHAVE MICRO SWICTH KW11-7-2  3 TERMINAIS COR PRETA C/HASTE 27MM	UND  	FABRICAÇÃO	-
3856	MODULO DE CONTROLE MODELO JDC02H - 127V/ 60Hz	UND  	FABRICAÇÃO	-
3857	MODULO DE MEDIDA MODELO DDS03 AEB-127V 15(100)A 60Hz 1600imp CL.1	UND  	FABRICAÇÃO	-
3860	MÓDULO DE MEDIDA MODELO MEP01-C/CR  120V 15(100)A  CL1.0 1600imp 60Hz	UND  	FABRICAÇÃO	-
3862	"PARAFUSO 3/8 ""W x 2"" COM PORCA, ARRUELA LISA E DE PRESSÃO (KIT)"	UND  	FABRICAÇÃO	-
3863	PARAFUSO AUTO-ATARRAXANTE FENDA ZINCADO 6,3X38MM	UND  	FABRICAÇÃO	-
3865	PARAFUSO CABEÇA LIMAO C/FENDA FERRO  ZINCADO 3/16X1	UND  	FABRICAÇÃO	-
3867	"PARAFUSO FENDA 1/4"" X 5/8"""	UND  	FABRICAÇÃO	-
3869	"PARAFUSO FENDA 1/4"" X 1/2"""	UND  	FABRICAÇÃO	-
3870	CAIXA DO COLETOR	UND  	FABRICAÇÃO	-
3871	PARAFUSO FENDA CABEÇA CILINDRICA - FERRO ZINCADO 6,3X6MM	UND  	OUTROS	-
3874	PARAFUSO M5 X 10 MM FENDA INOX (CABEÇA MAXIMO 6 MM)	UND  	FABRICAÇÃO	-
3875	PARAFUSO M5 X 20MM FENDA INOX	UND  	FABRICAÇÃO	-
3881	PARAFUSO M5 X 15MM FENDA INOX	UND  	FABRICAÇÃO	-
3886	FITA DE ANCORAGEM REVESTIDA, DE 55CM	PC   	EPI/EPC/FERRAMENTAL	NÃO
3887	PARAFUSO CABEÇA SEXTAVADA EXTERNO M5 x 10MM	UND  	FABRICAÇÃO	-
3888	PLACA DE PVC PARA FIXAÇÃO (CONCENTRADOR PRIMÁRIO)	UND  	FABRICAÇÃO	-
3891	LÂMINA P/ ESTILETE LARGO EMBALAGEM C/ 10 UNIDADES	CX   	ESCRITÓRIO	-
3892	PLUG 485 DE CONTROLE	UND  	FABRICAÇÃO	-
3893	PLUG 485 DE RF	UND  	FABRICAÇÃO	-
3894	GRAMPO P/GRAMPEADOR 26/06 CX C/1000 UNIDADES	CX   	ESCRITÓRIO	-
3895	"PORCA DE 1/4"""	UND  	FABRICAÇÃO	-
3896	SUPORTE P/ DUREX MÉDIO 12X33	UND  	ESCRITÓRIO	-
3897	PORCA M3 - SWITCH	UND  	FABRICAÇÃO	-
3898	PORCA M5	UND  	FABRICAÇÃO	-
3899	"PORCA SEXTAVADA FERRO ZINCADO DE 3/16"""	UND  	OUTROS	-
3900	PRENSA-CABO ROSQUEADO P/CABO 13-18MM REF.PM-1749 I2	UND  	FABRICAÇÃO	-
3903	REGUA FIXAÇÃO C/PARAFUSO FURO P/ LACRE E SUPORTE SWITCH	UND  	FABRICAÇÃO	-
3905	CORDA DE LINHA VIVA 12MM  ROLO C/25 METROS	RL   	EPI/EPC/FERRAMENTAL	NÃO
3907	SUPORTE PARA MACROMEDIÇÃO	UND  	FABRICAÇÃO	-
3909	SUPORTE PARA FIXAÇÃO DOS MODULOS CONTROLE	UND  	FABRICAÇÃO	-
3910	SUPORTE PARA FIXAÇÃO DOS MODULOS MEDIDA	UND  	FABRICAÇÃO	-
3911	SUPORTE PARA FIXAÇÃO DOS MÓDULOS RF	UND  	FABRICAÇÃO	-
3916	TERMINAL FEMEA, 7 x 5MM (CONEXÃO SWITCH)	UND  	FABRICAÇÃO	-
3917	TOMADA SIMPLES FEMEA	UND  	OUTROS	-
3918	TOMADA SOBREPOR 2P UNIVERSAL REDONDA	UND  	FABRICAÇÃO	-
3920	TUBO TERMORETRATIL P/ CABO 2MM	UND  	FABRICAÇÃO	-
3921	ABRAÇADEIRA NYLON 200X4,8MM BRANCA	UND  	FABRICAÇÃO	-
3922	ARAME GALVANIZADO 16 01KG - RL	UND  	OUTROS	-
3923	BASE COMPLETA C/FUSÍVEL RETARDADO PORCELANA	UND  	OUTROS	-
3924	"BOX TIPO RETO DE 1"""	UND  	OUTROS	-
